Tarih,TP_BISKREDIGSYIH_QSG3
2000-01-01,-3.1
2000-04-01,-3.1
2000-07-01,0.1
2000-10-01,3.5
2001-01-01,1.7
2001-04-01,3.2
2001-07-01,4.0
2001-10-01,8.1
2002-01-01,5.8
2002-04-01,4.7
2002-07-01,3.7
2002-10-01,4.8
2003-01-01,2.3
2003-04-01,3.1
2003-07-01,1.4
2003-10-01,-0.2
2004-01-01,-1.5
2004-04-01,-1.1
2004-07-01,-2.5
2004-10-01,-0.6
2005-01-01,-0.7
2005-04-01,3.4
2005-07-01,3.6
2005-10-01,5.3
2006-01-01,4.5
2006-04-01,5.7
2006-07-01,4.8
2006-10-01,6.0
2007-01-01,9.0
2007-04-01,12.8
2007-07-01,15.0
2007-10-01,19.1
2008-01-01,22.3
2008-04-01,27.0
2008-07-01,29.9
2008-10-01,37.8
2009-01-01,38.3
2009-04-01,39.4
2009-07-01,40.4
2009-10-01,39.8
2010-01-01,34.7
2010-04-01,30.1
2010-07-01,24.8
2010-10-01,17.2
2011-01-01,15.3
2011-04-01,13.7
2011-07-01,13.1
2011-10-01,12.3
2012-01-01,17.0
2012-04-01,13.8
2012-07-01,15.6
2012-10-01,6.9
2013-01-01,9.0
2013-04-01,9.4
2013-07-01,5.6
2013-10-01,3.4
2014-01-01,6.5
2014-04-01,3.0
2014-07-01,-1.1
2014-10-01,-1.2
2015-01-01,0.9
2015-04-01,-3.1
2015-07-01,-4.8
2015-10-01,-2.7
2016-01-01,-8.6
2016-04-01,-8.1
2016-07-01,-7.3
2016-10-01,-7.4
2017-01-01,-4.0
2017-04-01,-5.4
2017-07-01,-6.8
2017-10-01,-5.3
2018-01-01,-4.7
2018-04-01,-6.2
2018-07-01,-6.8
2018-10-01,-10.4
2019-01-01,-5.0
2019-04-01,-5.1
2019-07-01,-5.4
2019-10-01,-6.6
2020-01-01,-2.0
2020-04-01,1.4
2020-07-01,2.6
2020-10-01,2.1
2021-01-01,6.6
2021-04-01,1.2
2021-07-01,0.3
2021-10-01,4.3
2022-01-01,3.1
2022-04-01,0.0
2022-07-01,0.6
2022-10-01,1.1
2023-01-01,-23.8
2023-04-01,-22.6
2023-07-01,-30.0
2023-10-01,-34.4
2024-01-01,-22.9
2024-04-01,-22.4
2024-07-01,-19.5
2024-10-01,-22.6
2025-01-01,-31.3
