Tarih,TP_BISKREDIGSYIH_QGR2
2000-01-01,39.6
2000-04-01,40.2
2000-07-01,41.0
2000-10-01,41.8
2001-01-01,42.7
2001-04-01,43.6
2001-07-01,44.7
2001-10-01,45.7
2002-01-01,46.8
2002-04-01,47.9
2002-07-01,49.1
2002-10-01,50.2
2003-01-01,51.3
2003-04-01,52.5
2003-07-01,53.7
2003-10-01,54.9
2004-01-01,56.1
2004-04-01,57.3
2004-07-01,58.6
2004-10-01,60.0
2005-01-01,61.4
2005-04-01,62.9
2005-07-01,64.5
2005-10-01,66.3
2006-01-01,68.0
2006-04-01,69.8
2006-07-01,71.6
2006-10-01,73.5
2007-01-01,75.3
2007-04-01,77.2
2007-07-01,79.2
2007-10-01,81.2
2008-01-01,83.4
2008-04-01,85.7
2008-07-01,88.1
2008-10-01,90.5
2009-01-01,92.9
2009-04-01,95.1
2009-07-01,97.3
2009-10-01,99.5
2010-01-01,101.7
2010-04-01,104.0
2010-07-01,106.3
2010-10-01,108.7
2011-01-01,111.2
2011-04-01,113.6
2011-07-01,116.1
2011-10-01,118.3
2012-01-01,120.4
2012-04-01,122.6
2012-07-01,124.6
2012-10-01,126.7
2013-01-01,128.6
2013-04-01,130.4
2013-07-01,132.1
2013-10-01,133.6
2014-01-01,135.1
2014-04-01,136.5
2014-07-01,137.8
2014-10-01,139.0
2015-01-01,140.0
2015-04-01,141.0
2015-07-01,141.8
2015-10-01,142.5
2016-01-01,143.1
2016-04-01,143.7
2016-07-01,144.1
2016-10-01,144.4
2017-01-01,144.6
2017-04-01,144.7
2017-07-01,144.7
2017-10-01,144.5
2018-01-01,144.3
2018-04-01,143.9
2018-07-01,143.6
2018-10-01,143.2
2019-01-01,142.6
2019-04-01,141.9
2019-07-01,141.0
2019-10-01,140.1
2020-01-01,139.3
2020-04-01,138.8
2020-07-01,138.5
2020-10-01,138.3
2021-01-01,138.3
2021-04-01,138.4
2021-07-01,138.2
2021-10-01,137.9
2022-01-01,137.3
2022-04-01,136.6
2022-07-01,135.7
2022-10-01,134.2
2023-01-01,132.6
2023-04-01,130.9
2023-07-01,129.2
2023-10-01,127.5
2024-01-01,125.8
2024-04-01,124.1
2024-07-01,122.4
2024-10-01,120.9
2025-01-01,119.5
