Tarih,TP_BISKREDIGSYIH_QTH1
2000-01-01,189.4
2000-04-01,179.9
2000-07-01,166.2
2000-10-01,160.9
2001-01-01,159.3
2001-04-01,149.0
2001-07-01,148.5
2001-10-01,143.5
2002-01-01,150.7
2002-04-01,147.7
2002-07-01,148.2
2002-10-01,146.7
2003-01-01,145.2
2003-04-01,145.0
2003-07-01,142.6
2003-10-01,137.8
2004-01-01,139.8
2004-04-01,140.0
2004-07-01,144.3
2004-10-01,141.0
2005-01-01,140.1
2005-04-01,140.7
2005-07-01,140.4
2005-10-01,139.6
2006-01-01,137.3
2006-04-01,136.0
2006-07-01,135.1
2006-10-01,133.6
2007-01-01,130.6
2007-04-01,130.3
2007-07-01,129.5
2007-10-01,128.1
2008-01-01,127.9
2008-04-01,128.8
2008-07-01,129.3
2008-10-01,132.4
2009-01-01,132.9
2009-04-01,135.7
2009-07-01,137.6
2009-10-01,136.6
2010-01-01,132.3
2010-04-01,131.1
2010-07-01,129.8
2010-10-01,133.8
2011-01-01,135.2
2011-04-01,137.1
2011-07-01,139.1
2011-10-01,144.9
2012-01-01,147.2
2012-04-01,149.1
2012-07-01,151.2
2012-10-01,150.1
2013-01-01,149.7
2013-04-01,152.7
2013-07-01,152.8
2013-10-01,156.7
2014-01-01,157.2
2014-04-01,158.1
2014-07-01,158.6
2014-10-01,160.9
2015-01-01,160.7
2015-04-01,162.0
2015-07-01,163.1
2015-10-01,164.4
2016-01-01,166.1
2016-04-01,165.4
2016-07-01,163.3
2016-10-01,161.8
2017-01-01,159.3
2017-04-01,159.4
2017-07-01,157.6
2017-10-01,158.0
2018-01-01,156.9
2018-04-01,157.4
2018-07-01,157.3
2018-10-01,158.9
2019-01-01,158.4
2019-04-01,158.0
2019-07-01,157.8
2019-10-01,159.4
2020-01-01,162.8
2020-04-01,170.1
2020-07-01,175.3
2020-10-01,180.9
2021-01-01,183.8
2021-04-01,181.4
2021-07-01,183.8
2021-10-01,184.1
2022-01-01,183.4
2022-04-01,182.3
2022-07-01,180.3
2022-10-01,178.7
2023-01-01,177.4
2023-04-01,177.7
2023-07-01,177.8
2023-10-01,178.0
2024-01-01,177.5
2024-04-01,175.1
2024-07-01,172.1
2024-10-01,171.4
2025-01-01,169.8
