Tarih,TP_BISKREDIGSYIH_QHU2
2000-01-01,50.5
2000-04-01,50.7
2000-07-01,50.9
2000-10-01,51.3
2001-01-01,51.7
2001-04-01,52.0
2001-07-01,52.4
2001-10-01,52.9
2002-01-01,53.2
2002-04-01,53.6
2002-07-01,54.0
2002-10-01,54.4
2003-01-01,54.8
2003-04-01,55.5
2003-07-01,56.2
2003-10-01,57.0
2004-01-01,57.9
2004-04-01,58.9
2004-07-01,59.9
2004-10-01,60.9
2005-01-01,62.1
2005-04-01,63.5
2005-07-01,64.9
2005-10-01,66.4
2006-01-01,67.9
2006-04-01,69.6
2006-07-01,71.3
2006-10-01,72.9
2007-01-01,74.4
2007-04-01,76.1
2007-07-01,78.0
2007-10-01,80.2
2008-01-01,82.4
2008-04-01,84.2
2008-07-01,86.3
2008-10-01,88.6
2009-01-01,91.9
2009-04-01,94.6
2009-07-01,97.0
2009-10-01,99.7
2010-01-01,102.2
2010-04-01,104.9
2010-07-01,107.2
2010-10-01,109.2
2011-01-01,110.9
2011-04-01,112.4
2011-07-01,114.2
2011-10-01,116.0
2012-01-01,117.3
2012-04-01,118.6
2012-07-01,119.5
2012-10-01,120.4
2013-01-01,121.4
2013-04-01,122.1
2013-07-01,122.7
2013-10-01,122.9
2014-01-01,123.2
2014-04-01,123.3
2014-07-01,123.4
2014-10-01,123.3
2015-01-01,123.0
2015-04-01,122.7
2015-07-01,122.1
2015-10-01,121.5
2016-01-01,120.8
2016-04-01,120.1
2016-07-01,119.2
2016-10-01,118.3
2017-01-01,117.3
2017-04-01,116.2
2017-07-01,115.1
2017-10-01,113.9
2018-01-01,112.6
2018-04-01,111.5
2018-07-01,110.4
2018-10-01,109.2
2019-01-01,107.9
2019-04-01,106.7
2019-07-01,105.5
2019-10-01,104.4
2020-01-01,103.5
2020-04-01,102.7
2020-07-01,102.1
2020-10-01,101.6
2021-01-01,101.4
2021-04-01,101.1
2021-07-01,101.0
2021-10-01,101.1
2022-01-01,101.1
2022-04-01,101.2
2022-07-01,101.7
2022-10-01,101.7
2023-01-01,101.5
2023-04-01,101.1
2023-07-01,100.6
2023-10-01,100.1
2024-01-01,99.5
2024-04-01,99.1
2024-07-01,98.5
2024-10-01,98.0
2025-01-01,97.3
