Tarih,TP_BISKREDIGSYIH_QMY3
2000-01-01,-16.3
2000-04-01,-20.7
2000-07-01,-26.0
2000-10-01,-28.7
2001-01-01,-30.2
2001-04-01,-28.2
2001-07-01,-23.6
2001-10-01,-20.6
2002-01-01,-19.6
2002-04-01,-20.2
2002-07-01,-22.9
2002-10-01,-24.7
2003-01-01,-28.5
2003-04-01,-28.4
2003-07-01,-29.0
2003-10-01,-32.0
2004-01-01,-29.9
2004-04-01,-30.0
2004-07-01,-32.8
2004-10-01,-35.6
2005-01-01,-38.5
2005-04-01,-40.5
2005-07-01,-38.7
2005-10-01,-37.5
2006-01-01,-40.3
2006-04-01,-39.8
2006-07-01,-40.1
2006-10-01,-38.2
2007-01-01,-38.2
2007-04-01,-37.6
2007-07-01,-33.2
2007-10-01,-37.5
2008-01-01,-40.9
2008-04-01,-40.6
2008-07-01,-36.0
2008-10-01,-32.6
2009-01-01,-26.8
2009-04-01,-20.4
2009-07-01,-12.1
2009-10-01,-9.0
2010-01-01,-11.8
2010-04-01,-12.5
2010-07-01,-13.1
2010-10-01,-10.2
2011-01-01,-10.8
2011-04-01,-9.3
2011-07-01,-7.4
2011-10-01,-5.1
2012-01-01,-8.4
2012-04-01,-2.8
2012-07-01,-1.9
2012-10-01,-0.5
2013-01-01,1.5
2013-04-01,3.6
2013-07-01,3.8
2013-10-01,5.5
2014-01-01,4.8
2014-04-01,2.8
2014-07-01,1.6
2014-10-01,3.7
2015-01-01,5.6
2015-04-01,7.0
2015-07-01,8.3
2015-10-01,8.9
2016-01-01,5.7
2016-04-01,5.0
2016-07-01,6.5
2016-10-01,8.6
2017-01-01,6.7
2017-04-01,5.7
2017-07-01,3.7
2017-10-01,3.4
2018-01-01,4.1
2018-04-01,6.0
2018-07-01,5.0
2018-10-01,4.7
2019-01-01,4.0
2019-04-01,5.3
2019-07-01,3.9
2019-10-01,4.0
2020-01-01,4.6
2020-04-01,14.3
2020-07-01,16.5
2020-10-01,18.5
2021-01-01,18.5
2021-04-01,10.8
2021-07-01,11.0
2021-10-01,8.2
2022-01-01,3.7
2022-04-01,-2.4
2022-07-01,-10.1
2022-10-01,-11.7
2023-01-01,-12.0
2023-04-01,-9.1
2023-07-01,-7.1
2023-10-01,-5.2
2024-01-01,-5.1
2024-04-01,-6.0
2024-07-01,-7.8
2024-10-01,-6.1
2025-01-01,-5.7
