Tarih,TP_BISKREDIGSYIH_QMX2
2000-01-01,36.8
2000-04-01,36.2
2000-07-01,35.6
2000-10-01,35.0
2001-01-01,34.4
2001-04-01,33.8
2001-07-01,33.1
2001-10-01,32.5
2002-01-01,31.9
2002-04-01,31.4
2002-07-01,30.9
2002-10-01,30.4
2003-01-01,30.0
2003-04-01,29.5
2003-07-01,29.1
2003-10-01,28.7
2004-01-01,28.3
2004-04-01,27.9
2004-07-01,27.5
2004-10-01,27.2
2005-01-01,26.8
2005-04-01,26.5
2005-07-01,26.1
2005-10-01,25.8
2006-01-01,25.5
2006-04-01,25.2
2006-07-01,25.0
2006-10-01,24.8
2007-01-01,24.6
2007-04-01,24.5
2007-07-01,24.4
2007-10-01,24.4
2008-01-01,24.4
2008-04-01,24.4
2008-07-01,24.4
2008-10-01,24.5
2009-01-01,24.6
2009-04-01,24.7
2009-07-01,24.9
2009-10-01,25.0
2010-01-01,25.1
2010-04-01,25.2
2010-07-01,25.3
2010-10-01,25.4
2011-01-01,25.5
2011-04-01,25.6
2011-07-01,25.8
2011-10-01,26.0
2012-01-01,26.1
2012-04-01,26.3
2012-07-01,26.4
2012-10-01,26.6
2013-01-01,26.8
2013-04-01,27.0
2013-07-01,27.3
2013-10-01,27.7
2014-01-01,28.0
2014-04-01,28.3
2014-07-01,28.7
2014-10-01,29.0
2015-01-01,29.4
2015-04-01,29.8
2015-07-01,30.3
2015-10-01,30.8
2016-01-01,31.4
2016-04-01,31.9
2016-07-01,32.5
2016-10-01,33.1
2017-01-01,33.6
2017-04-01,34.1
2017-07-01,34.5
2017-10-01,35.1
2018-01-01,35.5
2018-04-01,36.0
2018-07-01,36.4
2018-10-01,36.8
2019-01-01,37.2
2019-04-01,37.6
2019-07-01,38.0
2019-10-01,38.3
2020-01-01,38.9
2020-04-01,39.4
2020-07-01,39.9
2020-10-01,40.3
2021-01-01,40.7
2021-04-01,40.9
2021-07-01,41.1
2021-10-01,41.3
2022-01-01,41.5
2022-04-01,41.6
2022-07-01,41.7
2022-10-01,41.8
2023-01-01,41.8
2023-04-01,41.7
2023-07-01,41.7
2023-10-01,41.6
2024-01-01,41.5
2024-04-01,41.5
2024-07-01,41.5
2024-10-01,41.6
2025-01-01,41.6
