Tarih,TP_BISKREDIGSYIH_QID2
2000-01-01,72.7
2000-04-01,71.1
2000-07-01,69.5
2000-10-01,67.9
2001-01-01,66.3
2001-04-01,64.8
2001-07-01,63.1
2001-10-01,61.4
2002-01-01,59.6
2002-04-01,57.9
2002-07-01,56.2
2002-10-01,54.6
2003-01-01,53.0
2003-04-01,51.4
2003-07-01,49.9
2003-10-01,48.5
2004-01-01,47.1
2004-04-01,45.9
2004-07-01,44.7
2004-10-01,43.6
2005-01-01,42.6
2005-04-01,41.6
2005-07-01,40.7
2005-10-01,39.8
2006-01-01,38.7
2006-04-01,37.7
2006-07-01,36.8
2006-10-01,35.8
2007-01-01,34.9
2007-04-01,34.0
2007-07-01,33.1
2007-10-01,32.4
2008-01-01,31.7
2008-04-01,31.1
2008-07-01,30.6
2008-10-01,30.0
2009-01-01,29.5
2009-04-01,28.9
2009-07-01,28.3
2009-10-01,27.8
2010-01-01,27.3
2010-04-01,26.8
2010-07-01,26.4
2010-10-01,26.1
2011-01-01,25.7
2011-04-01,25.5
2011-07-01,25.3
2011-10-01,25.3
2012-01-01,25.3
2012-04-01,25.4
2012-07-01,25.5
2012-10-01,25.8
2013-01-01,26.0
2013-04-01,26.3
2013-07-01,26.7
2013-10-01,27.2
2014-01-01,27.6
2014-04-01,28.1
2014-07-01,28.6
2014-10-01,29.1
2015-01-01,29.6
2015-04-01,30.1
2015-07-01,30.6
2015-10-01,31.2
2016-01-01,31.6
2016-04-01,32.1
2016-07-01,32.6
2016-10-01,33.1
2017-01-01,33.5
2017-04-01,33.9
2017-07-01,34.2
2017-10-01,34.6
2018-01-01,35.0
2018-04-01,35.4
2018-07-01,35.8
2018-10-01,36.2
2019-01-01,36.6
2019-04-01,36.9
2019-07-01,37.3
2019-10-01,37.7
2020-01-01,38.1
2020-04-01,38.5
2020-07-01,38.9
2020-10-01,39.3
2021-01-01,39.6
2021-04-01,39.9
2021-07-01,40.2
2021-10-01,40.4
2022-01-01,40.5
2022-04-01,40.7
2022-07-01,40.8
2022-10-01,40.9
2023-01-01,40.8
2023-04-01,40.8
2023-07-01,40.9
2023-10-01,40.9
2024-01-01,41.0
2024-04-01,41.0
2024-07-01,41.0
2024-10-01,41.1
2025-01-01,41.1
