Tarih,TP_BISKREDIGSYIH_QES1
2000-01-01,111.8
2000-04-01,115.8
2000-07-01,120.1
2000-10-01,122.3
2001-01-01,122.9
2001-04-01,126.1
2001-07-01,129.4
2001-10-01,131.4
2002-01-01,133.5
2002-04-01,134.9
2002-07-01,135.3
2002-10-01,138.1
2003-01-01,139.3
2003-04-01,141.8
2003-07-01,143.5
2003-10-01,148.3
2004-01-01,150.8
2004-04-01,155.7
2004-07-01,157.6
2004-10-01,162.0
2005-01-01,165.5
2005-04-01,171.5
2005-07-01,173.8
2005-10-01,179.5
2006-01-01,185.6
2006-04-01,190.8
2006-07-01,194.8
2006-10-01,201.5
2007-01-01,204.7
2007-04-01,212.6
2007-07-01,214.4
2007-10-01,216.4
2008-01-01,215.4
2008-04-01,218.6
2008-07-01,219.7
2008-10-01,221.4
2009-01-01,223.9
2009-04-01,226.4
2009-07-01,228.4
2009-10-01,229.9
2010-01-01,230.9
2010-04-01,233.8
2010-07-01,232.2
2010-10-01,231.0
2011-01-01,228.6
2011-04-01,228.6
2011-07-01,227.2
2011-10-01,226.4
2012-01-01,226.8
2012-04-01,227.1
2012-07-01,225.8
2012-10-01,217.9
2013-01-01,214.8
2013-04-01,212.7
2013-07-01,210.2
2013-10-01,208.0
2014-01-01,204.5
2014-04-01,202.1
2014-07-01,199.1
2014-10-01,193.8
2015-01-01,191.2
2015-04-01,187.8
2015-07-01,183.4
2015-10-01,180.0
2016-01-01,177.5
2016-04-01,176.7
2016-07-01,173.8
2016-10-01,172.2
2017-01-01,170.1
2017-04-01,167.8
2017-07-01,164.4
2017-10-01,161.7
2018-01-01,160.0
2018-04-01,159.8
2018-07-01,157.9
2018-10-01,156.1
2019-01-01,155.1
2019-04-01,154.9
2019-07-01,153.7
2019-10-01,151.9
2020-01-01,152.4
2020-04-01,164.1
2020-07-01,166.4
2020-10-01,170.8
2021-01-01,172.0
2021-04-01,167.1
2021-07-01,162.8
2021-10-01,159.2
2022-01-01,154.1
2022-04-01,151.0
2022-07-01,147.5
2022-10-01,143.0
2023-01-01,138.7
2023-04-01,136.2
2023-07-01,132.2
2023-10-01,130.1
2024-01-01,129.2
2024-04-01,128.6
2024-07-01,126.9
2024-10-01,124.2
2025-01-01,122.7
