Tarih,TP_BISKREDIGSYIH_QPL1
2000-01-01,36.9
2000-04-01,40.1
2000-07-01,39.2
2000-10-01,39.4
2001-01-01,40.1
2001-04-01,40.5
2001-07-01,42.7
2001-10-01,42.1
2002-01-01,43.2
2002-04-01,45.9
2002-07-01,48.2
2002-10-01,48.8
2003-01-01,49.5
2003-04-01,48.7
2003-07-01,48.8
2003-10-01,47.7
2004-01-01,48.0
2004-04-01,47.0
2004-07-01,45.9
2004-10-01,42.6
2005-01-01,41.8
2005-04-01,42.3
2005-07-01,42.4
2005-10-01,43.2
2006-01-01,44.0
2006-04-01,46.0
2006-07-01,48.4
2006-10-01,49.8
2007-01-01,51.0
2007-04-01,52.8
2007-07-01,55.5
2007-10-01,56.9
2008-01-01,58.7
2008-04-01,60.2
2008-07-01,63.1
2008-10-01,69.7
2009-01-01,73.7
2009-04-01,72.3
2009-07-01,71.5
2009-10-01,69.6
2010-01-01,69.9
2010-04-01,72.6
2010-07-01,72.0
2010-10-01,72.8
2011-01-01,72.0
2011-04-01,73.1
2011-07-01,76.3
2011-10-01,76.8
2012-01-01,75.9
2012-04-01,76.4
2012-07-01,76.0
2012-10-01,76.8
2013-01-01,77.7
2013-04-01,79.5
2013-07-01,80.1
2013-10-01,79.5
2014-01-01,79.9
2014-04-01,81.0
2014-07-01,81.6
2014-10-01,82.1
2015-01-01,82.9
2015-04-01,83.7
2015-07-01,84.0
2015-10-01,83.3
2016-01-01,83.4
2016-04-01,84.4
2016-07-01,83.9
2016-10-01,86.0
2017-01-01,84.5
2017-04-01,83.5
2017-07-01,82.6
2017-10-01,81.2
2018-01-01,81.8
2018-04-01,81.8
2018-07-01,81.1
2018-10-01,80.0
2019-01-01,79.4
2019-04-01,78.4
2019-07-01,78.7
2019-10-01,77.2
2020-01-01,79.2
2020-04-01,79.4
2020-07-01,78.7
2020-10-01,78.7
2021-01-01,78.1
2021-04-01,75.7
2021-07-01,75.5
2021-10-01,74.0
2022-01-01,72.1
2022-04-01,70.2
2022-07-01,69.6
2022-10-01,65.4
2023-01-01,63.4
2023-04-01,61.4
2023-07-01,61.2
2023-10-01,59.6
2024-01-01,59.3
2024-04-01,59.1
2024-07-01,58.3
2024-10-01,58.2
2025-01-01,57.1
