Tarih,TP_BISKREDIGSYIH_QKR1
2000-01-01,139.4
2000-04-01,136.3
2000-07-01,136.1
2000-10-01,133.4
2001-01-01,134.3
2001-04-01,133.9
2001-07-01,135.9
2001-10-01,134.7
2002-01-01,137.4
2002-04-01,139.5
2002-07-01,141.0
2002-10-01,141.0
2003-01-01,141.0
2003-04-01,140.1
2003-07-01,139.2
2003-10-01,138.0
2004-01-01,136.2
2004-04-01,133.7
2004-07-01,132.5
2004-10-01,129.7
2005-01-01,129.1
2005-04-01,130.7
2005-07-01,130.9
2005-10-01,131.7
2006-01-01,132.7
2006-04-01,136.2
2006-07-01,138.9
2006-10-01,142.2
2007-01-01,144.1
2007-04-01,145.7
2007-07-01,146.6
2007-10-01,147.9
2008-01-01,151.3
2008-04-01,154.9
2008-07-01,158.0
2008-10-01,161.5
2009-01-01,163.7
2009-04-01,166.1
2009-07-01,167.2
2009-10-01,166.6
2010-01-01,164.6
2010-04-01,164.1
2010-07-01,163.4
2010-10-01,161.8
2011-01-01,162.1
2011-04-01,163.2
2011-07-01,165.8
2011-10-01,165.7
2012-01-01,166.1
2012-04-01,167.2
2012-07-01,168.7
2012-10-01,167.8
2013-01-01,169.7
2013-04-01,169.8
2013-07-01,169.4
2013-10-01,168.4
2014-01-01,168.6
2014-04-01,168.7
2014-07-01,170.6
2014-10-01,171.3
2015-01-01,171.2
2015-04-01,171.2
2015-07-01,172.2
2015-10-01,172.3
2016-01-01,172.0
2016-04-01,172.3
2016-07-01,172.2
2016-10-01,172.6
2017-01-01,171.9
2017-04-01,173.2
2017-07-01,173.0
2017-10-01,172.6
2018-01-01,173.4
2018-04-01,174.4
2018-07-01,176.2
2018-10-01,177.2
2019-01-01,178.4
2019-04-01,180.9
2019-07-01,183.1
2019-10-01,185.1
2020-01-01,188.5
2020-04-01,193.9
2020-07-01,198.1
2020-10-01,200.6
2021-01-01,202.7
2021-04-01,204.0
2021-07-01,205.2
2021-10-01,205.6
2022-01-01,204.9
2022-04-01,206.3
2022-07-01,208.3
2022-10-01,209.0
2023-01-01,208.4
2023-04-01,208.2
2023-07-01,208.6
2023-10-01,205.9
2024-01-01,203.4
2024-04-01,202.0
2024-07-01,201.3
2024-10-01,200.3
2025-01-01,200.8
