Tarih,TP_BISKREDIGSYIH_QLU3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,10.8
2005-04-01,8.6
2005-07-01,5.8
2005-10-01,-1.6
2006-01-01,-2.8
2006-04-01,-3.0
2006-07-01,-2.1
2006-10-01,1.1
2007-01-01,30.2
2007-04-01,52.0
2007-07-01,71.8
2007-10-01,90.0
2008-01-01,75.2
2008-04-01,63.2
2008-07-01,52.1
2008-10-01,42.3
2009-01-01,47.9
2009-04-01,55.6
2009-07-01,59.7
2009-10-01,50.5
2010-01-01,31.9
2010-04-01,13.6
2010-07-01,-1.1
2010-10-01,-13.2
2011-01-01,-13.7
2011-04-01,-4.6
2011-07-01,-2.5
2011-10-01,2.4
2012-01-01,10.7
2012-04-01,10.6
2012-07-01,10.9
2012-10-01,6.6
2013-01-01,1.1
2013-04-01,-4.2
2013-07-01,-8.3
2013-10-01,-12.1
2014-01-01,-11.6
2014-04-01,-15.6
2014-07-01,-15.2
2014-10-01,17.8
2015-01-01,28.5
2015-04-01,18.9
2015-07-01,-14.1
2015-10-01,-3.1
2016-01-01,-4.3
2016-04-01,-19.3
2016-07-01,2.0
2016-10-01,-28.1
2017-01-01,-32.7
2017-04-01,-18.2
2017-07-01,-27.2
2017-10-01,-21.4
2018-01-01,-11.7
2018-04-01,-25.4
2018-07-01,-17.5
2018-10-01,7.5
2019-01-01,13.2
2019-04-01,17.1
2019-07-01,12.3
2019-10-01,5.7
2020-01-01,11.0
2020-04-01,23.4
2020-07-01,9.9
2020-10-01,7.3
2021-01-01,5.3
2021-04-01,-2.6
2021-07-01,-6.3
2021-10-01,-2.9
2022-01-01,-6.0
2022-04-01,7.5
2022-07-01,12.2
2022-10-01,6.7
2023-01-01,1.2
2023-04-01,-6.9
2023-07-01,-17.0
2023-10-01,-19.9
2024-01-01,-32.5
2024-04-01,-38.0
2024-07-01,-44.8
2024-10-01,-48.9
2025-01-01,-53.4
