Tarih,TP_BISKREDIGSYIH_QTH2
2000-01-01,223.4
2000-04-01,223.3
2000-07-01,222.3
2000-10-01,221.0
2001-01-01,219.7
2001-04-01,217.7
2001-07-01,215.7
2001-10-01,213.5
2002-01-01,211.6
2002-04-01,209.6
2002-07-01,207.7
2002-10-01,205.6
2003-01-01,203.5
2003-04-01,201.5
2003-07-01,199.3
2003-10-01,196.9
2004-01-01,194.6
2004-04-01,192.4
2004-07-01,190.5
2004-10-01,188.4
2005-01-01,186.3
2005-04-01,184.3
2005-07-01,182.3
2005-10-01,180.3
2006-01-01,178.3
2006-04-01,176.2
2006-07-01,174.1
2006-10-01,172.0
2007-01-01,169.8
2007-04-01,167.6
2007-07-01,165.4
2007-10-01,163.3
2008-01-01,161.1
2008-04-01,159.1
2008-07-01,157.2
2008-10-01,155.6
2009-01-01,154.0
2009-04-01,152.6
2009-07-01,151.3
2009-10-01,150.1
2010-01-01,148.7
2010-04-01,147.2
2010-07-01,145.8
2010-10-01,144.6
2011-01-01,143.5
2011-04-01,142.6
2011-07-01,141.8
2011-10-01,141.4
2012-01-01,141.2
2012-04-01,141.0
2012-07-01,141.1
2012-10-01,141.0
2013-01-01,141.0
2013-04-01,141.1
2013-07-01,141.3
2013-10-01,141.6
2014-01-01,142.1
2014-04-01,142.5
2014-07-01,143.0
2014-10-01,143.6
2015-01-01,144.2
2015-04-01,144.8
2015-07-01,145.5
2015-10-01,146.3
2016-01-01,147.1
2016-04-01,147.9
2016-07-01,148.6
2016-10-01,149.1
2017-01-01,149.6
2017-04-01,150.0
2017-07-01,150.3
2017-10-01,150.6
2018-01-01,150.8
2018-04-01,151.1
2018-07-01,151.4
2018-10-01,151.7
2019-01-01,152.1
2019-04-01,152.3
2019-07-01,152.6
2019-10-01,152.9
2020-01-01,153.5
2020-04-01,154.4
2020-07-01,155.5
2020-10-01,157.0
2021-01-01,158.5
2021-04-01,159.9
2021-07-01,161.4
2021-10-01,162.8
2022-01-01,164.2
2022-04-01,165.4
2022-07-01,166.5
2022-10-01,167.5
2023-01-01,168.4
2023-04-01,169.2
2023-07-01,170.0
2023-10-01,170.8
2024-01-01,171.6
2024-04-01,172.1
2024-07-01,172.5
2024-10-01,172.9
2025-01-01,173.1
