Tarih,TP_BISKREDIGSYIH_QGB2
2000-01-01,126.0
2000-04-01,127.2
2000-07-01,128.3
2000-10-01,129.5
2001-01-01,130.8
2001-04-01,132.0
2001-07-01,133.3
2001-10-01,134.7
2002-01-01,136.2
2002-04-01,137.7
2002-07-01,139.4
2002-10-01,141.1
2003-01-01,142.6
2003-04-01,144.1
2003-07-01,145.6
2003-10-01,147.0
2004-01-01,148.3
2004-04-01,149.6
2004-07-01,151.0
2004-10-01,152.3
2005-01-01,153.6
2005-04-01,155.1
2005-07-01,156.6
2005-10-01,158.1
2006-01-01,159.5
2006-04-01,161.0
2006-07-01,162.7
2006-10-01,164.2
2007-01-01,165.7
2007-04-01,167.0
2007-07-01,168.5
2007-10-01,170.0
2008-01-01,171.6
2008-04-01,173.1
2008-07-01,174.5
2008-10-01,176.2
2009-01-01,177.8
2009-04-01,179.2
2009-07-01,180.6
2009-10-01,182.0
2010-01-01,183.4
2010-04-01,184.5
2010-07-01,185.5
2010-10-01,186.2
2011-01-01,186.8
2011-04-01,187.3
2011-07-01,187.7
2011-10-01,187.9
2012-01-01,188.2
2012-04-01,188.6
2012-07-01,188.9
2012-10-01,189.0
2013-01-01,189.0
2013-04-01,189.0
2013-07-01,188.9
2013-10-01,188.6
2014-01-01,188.1
2014-04-01,187.6
2014-07-01,186.9
2014-10-01,186.2
2015-01-01,185.5
2015-04-01,184.6
2015-07-01,183.7
2015-10-01,182.9
2016-01-01,182.1
2016-04-01,181.5
2016-07-01,181.0
2016-10-01,180.5
2017-01-01,180.0
2017-04-01,179.4
2017-07-01,178.9
2017-10-01,178.4
2018-01-01,177.8
2018-04-01,177.1
2018-07-01,176.4
2018-10-01,175.7
2019-01-01,174.9
2019-04-01,174.1
2019-07-01,173.4
2019-10-01,172.7
2020-01-01,172.1
2020-04-01,172.1
2020-07-01,172.2
2020-10-01,172.6
2021-01-01,172.9
2021-04-01,173.0
2021-07-01,172.9
2021-10-01,172.5
2022-01-01,171.7
2022-04-01,170.8
2022-07-01,169.8
2022-10-01,168.7
2023-01-01,167.6
2023-04-01,166.3
2023-07-01,165.0
2023-10-01,163.6
2024-01-01,162.2
2024-04-01,160.8
2024-07-01,159.4
2024-10-01,157.9
2025-01-01,156.4
