Tarih,TP_BISKREDIGSYIH_QMX3
2000-01-01,-11.7
2000-04-01,-10.8
2000-07-01,-11.1
2000-10-01,-11.1
2001-01-01,-10.9
2001-04-01,-11.3
2001-07-01,-10.5
2001-10-01,-9.9
2002-01-01,-9.8
2002-04-01,-8.4
2002-07-01,-7.7
2002-10-01,-7.0
2003-01-01,-6.7
2003-04-01,-6.4
2003-07-01,-5.6
2003-10-01,-5.0
2004-01-01,-4.7
2004-04-01,-4.6
2004-07-01,-4.5
2004-10-01,-4.3
2005-01-01,-3.8
2005-04-01,-3.6
2005-07-01,-3.6
2005-10-01,-2.8
2006-01-01,-2.4
2006-04-01,-1.6
2006-07-01,-1.4
2006-10-01,-0.4
2007-01-01,0.0
2007-04-01,0.3
2007-07-01,1.3
2007-10-01,2.6
2008-01-01,2.6
2008-04-01,2.4
2008-07-01,3.1
2008-10-01,4.1
2009-01-01,4.7
2009-04-01,4.2
2009-07-01,4.3
2009-10-01,3.9
2010-01-01,3.6
2010-04-01,3.6
2010-07-01,3.2
2010-10-01,3.2
2011-01-01,3.4
2011-04-01,3.3
2011-07-01,4.6
2011-10-01,4.6
2012-01-01,3.7
2012-04-01,3.8
2012-07-01,3.8
2012-10-01,4.0
2013-01-01,3.6
2013-04-01,4.4
2013-07-01,5.3
2013-10-01,6.0
2014-01-01,5.8
2014-04-01,5.7
2014-07-01,5.7
2014-10-01,6.2
2015-01-01,6.1
2015-04-01,6.4
2015-07-01,7.5
2015-10-01,7.5
2016-01-01,7.9
2016-04-01,8.4
2016-07-01,8.6
2016-10-01,8.4
2017-01-01,6.2
2017-04-01,5.3
2017-07-01,5.4
2017-10-01,6.3
2018-01-01,4.9
2018-04-01,5.4
2018-07-01,4.0
2018-10-01,3.8
2019-01-01,3.6
2019-04-01,3.3
2019-07-01,2.9
2019-10-01,1.7
2020-01-01,5.2
2020-04-01,5.9
2020-07-01,4.8
2020-10-01,2.5
2021-01-01,2.2
2021-04-01,-0.3
2021-07-01,-0.7
2021-10-01,-1.1
2022-01-01,-1.8
2022-04-01,-2.0
2022-07-01,-2.4
2022-10-01,-3.1
2023-01-01,-4.2
2023-04-01,-4.7
2023-07-01,-4.5
2023-10-01,-4.6
2024-01-01,-4.8
2024-04-01,-3.8
2024-07-01,-3.3
2024-10-01,-2.5
2025-01-01,-2.8
