Tarih,TP_BISKREDIGSYIH_QNL3
2000-01-01,7.9
2000-04-01,7.6
2000-07-01,7.7
2000-10-01,8.2
2001-01-01,2.0
2001-04-01,0.5
2001-07-01,-1.9
2001-10-01,-1.2
2002-01-01,-3.2
2002-04-01,-6.2
2002-07-01,-4.6
2002-10-01,-6.0
2003-01-01,-6.4
2003-04-01,-5.2
2003-07-01,-3.5
2003-10-01,6.0
2004-01-01,3.6
2004-04-01,1.3
2004-07-01,0.1
2004-10-01,0.7
2005-01-01,-0.6
2005-04-01,3.7
2005-07-01,3.4
2005-10-01,-0.3
2006-01-01,-2.9
2006-04-01,-6.0
2006-07-01,-5.9
2006-10-01,-9.7
2007-01-01,-8.8
2007-04-01,-10.9
2007-07-01,-11.1
2007-10-01,-13.6
2008-01-01,-11.3
2008-04-01,-10.0
2008-07-01,-12.1
2008-10-01,-13.1
2009-01-01,-9.3
2009-04-01,-5.3
2009-07-01,-2.2
2009-10-01,-3.6
2010-01-01,2.2
2010-04-01,6.1
2010-07-01,6.4
2010-10-01,7.4
2011-01-01,7.5
2011-04-01,10.7
2011-07-01,10.7
2011-10-01,14.0
2012-01-01,14.8
2012-04-01,16.8
2012-07-01,16.3
2012-10-01,14.2
2013-01-01,13.1
2013-04-01,12.5
2013-07-01,11.4
2013-10-01,9.0
2014-01-01,7.0
2014-04-01,6.9
2014-07-01,5.8
2014-10-01,9.9
2015-01-01,13.5
2015-04-01,9.6
2015-07-01,5.2
2015-10-01,1.6
2016-01-01,-0.6
2016-04-01,-2.5
2016-07-01,2.4
2016-10-01,-2.0
2017-01-01,-2.1
2017-04-01,-5.4
2017-07-01,-6.7
2017-10-01,-11.4
2018-01-01,-12.6
2018-04-01,-17.4
2018-07-01,-20.6
2018-10-01,-23.4
2019-01-01,-26.5
2019-04-01,-30.2
2019-07-01,-32.9
2019-10-01,-36.8
2020-01-01,-33.6
2020-04-01,-26.1
2020-07-01,-23.8
2020-10-01,-25.6
2021-01-01,-12.8
2021-04-01,-20.9
2021-07-01,-27.3
2021-10-01,-32.6
2022-01-01,-37.2
2022-04-01,-40.3
2022-07-01,-40.1
2022-10-01,-46.8
2023-01-01,-54.7
2023-04-01,-55.0
2023-07-01,-53.1
2023-10-01,-52.7
2024-01-01,-55.4
2024-04-01,-56.0
2024-07-01,-55.9
2024-10-01,-56.7
2025-01-01,-56.3
