Tarih,TP_BISKREDIGSYIH_QPT2
2000-01-01,103.5
2000-04-01,105.5
2000-07-01,107.5
2000-10-01,109.6
2001-01-01,111.9
2001-04-01,114.2
2001-07-01,116.7
2001-10-01,119.1
2002-01-01,121.5
2002-04-01,123.8
2002-07-01,126.1
2002-10-01,128.6
2003-01-01,131.2
2003-04-01,133.8
2003-07-01,136.3
2003-10-01,138.8
2004-01-01,141.5
2004-04-01,144.1
2004-07-01,146.7
2004-10-01,149.3
2005-01-01,151.8
2005-04-01,154.3
2005-07-01,156.7
2005-10-01,159.2
2006-01-01,161.6
2006-04-01,164.0
2006-07-01,166.2
2006-10-01,168.5
2007-01-01,170.6
2007-04-01,172.9
2007-07-01,175.2
2007-10-01,177.6
2008-01-01,180.0
2008-04-01,182.7
2008-07-01,185.2
2008-10-01,187.8
2009-01-01,190.6
2009-04-01,193.4
2009-07-01,196.2
2009-10-01,198.8
2010-01-01,201.3
2010-04-01,203.8
2010-07-01,206.0
2010-10-01,208.3
2011-01-01,210.7
2011-04-01,212.9
2011-07-01,215.2
2011-10-01,217.3
2012-01-01,219.4
2012-04-01,221.5
2012-07-01,223.6
2012-10-01,225.7
2013-01-01,227.7
2013-04-01,229.4
2013-07-01,230.8
2013-10-01,231.9
2014-01-01,232.7
2014-04-01,233.3
2014-07-01,233.6
2014-10-01,233.8
2015-01-01,233.9
2015-04-01,233.8
2015-07-01,233.4
2015-10-01,232.8
2016-01-01,232.1
2016-04-01,231.2
2016-07-01,230.1
2016-10-01,228.9
2017-01-01,227.5
2017-04-01,226.1
2017-07-01,224.6
2017-10-01,223.0
2018-01-01,221.2
2018-04-01,219.3
2018-07-01,217.3
2018-10-01,215.3
2019-01-01,213.2
2019-04-01,211.1
2019-07-01,208.9
2019-10-01,206.6
2020-01-01,204.3
2020-04-01,202.7
2020-07-01,201.3
2020-10-01,200.0
2021-01-01,199.0
2021-04-01,197.6
2021-07-01,196.2
2021-10-01,194.7
2022-01-01,193.0
2022-04-01,191.1
2022-07-01,189.0
2022-10-01,186.8
2023-01-01,184.4
2023-04-01,181.8
2023-07-01,179.2
2023-10-01,176.5
2024-01-01,173.7
2024-04-01,171.0
2024-07-01,168.3
2024-10-01,165.6
2025-01-01,163.0
