Tarih,TP_BISKREDIGSYIH_QCZ2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,65.6
2003-04-01,64.6
2003-07-01,63.6
2003-10-01,62.7
2004-01-01,61.9
2004-04-01,61.2
2004-07-01,60.4
2004-10-01,59.7
2005-01-01,59.0
2005-04-01,58.4
2005-07-01,57.9
2005-10-01,57.4
2006-01-01,57.2
2006-04-01,57.0
2006-07-01,56.8
2006-10-01,56.8
2007-01-01,56.8
2007-04-01,56.9
2007-07-01,57.1
2007-10-01,57.4
2008-01-01,57.8
2008-04-01,58.3
2008-07-01,58.9
2008-10-01,59.6
2009-01-01,60.3
2009-04-01,61.1
2009-07-01,61.9
2009-10-01,62.9
2010-01-01,63.7
2010-04-01,64.7
2010-07-01,65.5
2010-10-01,66.3
2011-01-01,67.1
2011-04-01,68.0
2011-07-01,68.8
2011-10-01,69.7
2012-01-01,70.6
2012-04-01,71.5
2012-07-01,72.4
2012-10-01,73.5
2013-01-01,74.5
2013-04-01,75.7
2013-07-01,76.7
2013-10-01,77.8
2014-01-01,78.7
2014-04-01,79.6
2014-07-01,80.4
2014-10-01,81.2
2015-01-01,81.9
2015-04-01,82.4
2015-07-01,82.9
2015-10-01,83.4
2016-01-01,83.7
2016-04-01,84.1
2016-07-01,84.5
2016-10-01,84.9
2017-01-01,85.3
2017-04-01,85.7
2017-07-01,86.0
2017-10-01,86.4
2018-01-01,86.7
2018-04-01,87.1
2018-07-01,87.5
2018-10-01,88.0
2019-01-01,88.3
2019-04-01,88.6
2019-07-01,88.7
2019-10-01,88.8
2020-01-01,88.9
2020-04-01,89.0
2020-07-01,89.2
2020-10-01,89.4
2021-01-01,89.6
2021-04-01,89.8
2021-07-01,90.0
2021-10-01,90.2
2022-01-01,90.4
2022-04-01,90.5
2022-07-01,90.7
2022-10-01,90.7
2023-01-01,90.7
2023-04-01,90.5
2023-07-01,90.3
2023-10-01,90.0
2024-01-01,89.9
2024-04-01,89.7
2024-07-01,89.6
2024-10-01,89.5
2025-01-01,89.3
