Tarih,TP_BISKREDIGSYIH_QSG1
2000-01-01,145.6
2000-04-01,145.9
2000-07-01,149.5
2000-10-01,153.6
2001-01-01,152.3
2001-04-01,154.4
2001-07-01,155.9
2001-10-01,160.9
2002-01-01,159.4
2002-04-01,159.0
2002-07-01,158.7
2002-10-01,160.6
2003-01-01,158.7
2003-04-01,160.2
2003-07-01,159.1
2003-10-01,157.9
2004-01-01,157.1
2004-04-01,157.8
2004-07-01,156.9
2004-10-01,159.2
2005-01-01,159.5
2005-04-01,164.3
2005-07-01,165.2
2005-10-01,167.8
2006-01-01,167.7
2006-04-01,169.7
2006-07-01,169.7
2006-10-01,171.8
2007-01-01,175.9
2007-04-01,180.9
2007-07-01,184.6
2007-10-01,190.4
2008-01-01,195.5
2008-04-01,202.5
2008-07-01,207.8
2008-10-01,218.6
2009-01-01,222.1
2009-04-01,226.4
2009-07-01,230.8
2009-10-01,233.5
2010-01-01,231.4
2010-04-01,229.7
2010-07-01,227.0
2010-10-01,221.7
2011-01-01,221.9
2011-04-01,222.4
2011-07-01,223.8
2011-10-01,225.1
2012-01-01,232.1
2012-04-01,231.1
2012-07-01,235.2
2012-10-01,228.2
2013-01-01,232.3
2013-04-01,234.8
2013-07-01,232.7
2013-10-01,232.1
2014-01-01,237.1
2014-04-01,235.3
2014-07-01,232.6
2014-10-01,234.0
2015-01-01,237.5
2015-04-01,234.9
2015-07-01,234.4
2015-10-01,237.8
2016-01-01,232.9
2016-04-01,234.4
2016-07-01,236.2
2016-10-01,237.1
2017-01-01,241.7
2017-04-01,241.4
2017-07-01,240.9
2017-10-01,243.6
2018-01-01,245.3
2018-04-01,244.8
2018-07-01,245.2
2018-10-01,242.3
2019-01-01,248.8
2019-04-01,249.7
2019-07-01,250.4
2019-10-01,250.1
2020-01-01,256.0
2020-04-01,260.7
2020-07-01,263.4
2020-10-01,264.4
2021-01-01,270.5
2021-04-01,266.5
2021-07-01,267.0
2021-10-01,272.5
2022-01-01,272.8
2022-04-01,271.1
2022-07-01,273.1
2022-10-01,274.9
2023-01-01,250.0
2023-04-01,251.2
2023-07-01,243.3
2023-10-01,238.2
2024-01-01,249.4
2024-04-01,249.8
2024-07-01,252.7
2024-10-01,249.3
2025-01-01,239.8
