Tarih,TP_BISKREDIGSYIH_QNZ3
2000-01-01,4.9
2000-04-01,4.4
2000-07-01,3.7
2000-10-01,4.0
2001-01-01,5.2
2001-04-01,4.9
2001-07-01,-3.2
2001-10-01,-3.4
2002-01-01,-2.1
2002-04-01,-3.3
2002-07-01,-3.6
2002-10-01,-3.1
2003-01-01,-2.9
2003-04-01,-3.4
2003-07-01,-4.4
2003-10-01,-4.7
2004-01-01,-4.5
2004-04-01,-1.0
2004-07-01,-3.2
2004-10-01,1.0
2005-01-01,2.9
2005-04-01,3.9
2005-07-01,5.2
2005-10-01,8.8
2006-01-01,9.2
2006-04-01,12.1
2006-07-01,13.2
2006-10-01,12.8
2007-01-01,14.8
2007-04-01,15.2
2007-07-01,12.9
2007-10-01,11.7
2008-01-01,10.5
2008-04-01,11.1
2008-07-01,11.7
2008-10-01,12.0
2009-01-01,12.2
2009-04-01,9.4
2009-07-01,5.6
2009-10-01,1.1
2010-01-01,-1.8
2010-04-01,-5.4
2010-07-01,-8.8
2010-10-01,-11.4
2011-01-01,-13.2
2011-04-01,-15.2
2011-07-01,-18.1
2011-10-01,-21.3
2012-01-01,-21.4
2012-04-01,-22.2
2012-07-01,-21.6
2012-10-01,-20.0
2013-01-01,-19.7
2013-04-01,-19.2
2013-07-01,-20.2
2013-10-01,-22.8
2014-01-01,-23.9
2014-04-01,-24.3
2014-07-01,-23.9
2014-10-01,-22.6
2015-01-01,-21.4
2015-04-01,-20.8
2015-07-01,-19.8
2015-10-01,-19.5
2016-01-01,-18.3
2016-04-01,-17.7
2016-07-01,-16.2
2016-10-01,-16.3
2017-01-01,-16.7
2017-04-01,-16.8
2017-07-01,-17.1
2017-10-01,-17.2
2018-01-01,-17.6
2018-04-01,-17.1
2018-07-01,-17.0
2018-10-01,-16.0
2019-01-01,-16.2
2019-04-01,-15.2
2019-07-01,-14.9
2019-10-01,-15.4
2020-01-01,-13.3
2020-04-01,-10.3
2020-07-01,-11.0
2020-10-01,-9.6
2021-01-01,-8.7
2021-04-01,-12.8
2021-07-01,-11.5
2021-10-01,-11.3
2022-01-01,-11.3
2022-04-01,-11.6
2022-07-01,-13.5
2022-10-01,-14.3
2023-01-01,-16.9
2023-04-01,-16.5
2023-07-01,-17.3
2023-10-01,-16.4
2024-01-01,-16.0
2024-04-01,-14.6
2024-07-01,-12.7
2024-10-01,-11.7
2025-01-01,-10.9
