Tarih,TP_BISKREDIGSYIH_QDE1
2000-01-01,138.8
2000-04-01,141.5
2000-07-01,141.9
2000-10-01,147.7
2001-01-01,148.2
2001-04-01,148.7
2001-07-01,149.4
2001-10-01,149.1
2002-01-01,148.4
2002-04-01,150.4
2002-07-01,150.7
2002-10-01,151.6
2003-01-01,152.1
2003-04-01,153.2
2003-07-01,153.3
2003-10-01,152.5
2004-01-01,149.3
2004-04-01,147.7
2004-07-01,146.2
2004-10-01,144.8
2005-01-01,143.8
2005-04-01,145.0
2005-07-01,145.5
2005-10-01,145.7
2006-01-01,146.7
2006-04-01,147.4
2006-07-01,147.3
2006-10-01,146.0
2007-01-01,143.6
2007-04-01,143.0
2007-07-01,141.7
2007-10-01,141.9
2008-01-01,141.1
2008-04-01,141.1
2008-07-01,141.5
2008-10-01,143.3
2009-01-01,144.8
2009-04-01,146.2
2009-07-01,146.2
2009-10-01,146.6
2010-01-01,145.0
2010-04-01,144.7
2010-07-01,143.7
2010-10-01,141.7
2011-01-01,138.0
2011-04-01,137.1
2011-07-01,137.9
2011-10-01,138.0
2012-01-01,137.4
2012-04-01,137.6
2012-07-01,137.2
2012-10-01,137.0
2013-01-01,138.0
2013-04-01,138.5
2013-07-01,138.7
2013-10-01,138.6
2014-01-01,137.7
2014-04-01,137.7
2014-07-01,136.4
2014-10-01,132.4
2015-01-01,132.9
2015-04-01,132.9
2015-07-01,132.9
2015-10-01,132.7
2016-01-01,133.3
2016-04-01,133.7
2016-07-01,134.5
2016-10-01,134.7
2017-01-01,135.0
2017-04-01,134.5
2017-07-01,134.0
2017-10-01,133.9
2018-01-01,133.3
2018-04-01,134.4
2018-07-01,135.2
2018-10-01,134.8
2019-01-01,135.8
2019-04-01,137.0
2019-07-01,137.3
2019-10-01,137.6
2020-01-01,138.8
2020-04-01,144.3
2020-07-01,146.8
2020-10-01,148.7
2021-01-01,151.0
2021-04-01,148.3
2021-07-01,147.7
2021-10-01,147.4
2022-01-01,146.7
2022-04-01,146.2
2022-07-01,147.5
2022-10-01,146.0
2023-01-01,143.9
2023-04-01,142.4
2023-07-01,140.7
2023-10-01,139.6
2024-01-01,139.1
2024-04-01,138.9
2024-07-01,139.0
2024-10-01,138.6
2025-01-01,138.5
