Tarih,TP_BISKREDIGSYIH_QAT2
2000-01-01,121.9
2000-04-01,122.9
2000-07-01,124.1
2000-10-01,125.2
2001-01-01,126.2
2001-04-01,127.2
2001-07-01,128.2
2001-10-01,129.2
2002-01-01,130.1
2002-04-01,131.0
2002-07-01,131.9
2002-10-01,132.7
2003-01-01,133.5
2003-04-01,134.3
2003-07-01,135.0
2003-10-01,135.8
2004-01-01,136.6
2004-04-01,137.4
2004-07-01,138.1
2004-10-01,138.6
2005-01-01,139.2
2005-04-01,139.8
2005-07-01,140.3
2005-10-01,140.9
2006-01-01,141.3
2006-04-01,141.7
2006-07-01,142.1
2006-10-01,142.5
2007-01-01,142.7
2007-04-01,143.0
2007-07-01,143.4
2007-10-01,143.9
2008-01-01,144.3
2008-04-01,144.7
2008-07-01,145.1
2008-10-01,145.6
2009-01-01,146.0
2009-04-01,146.5
2009-07-01,147.0
2009-10-01,147.5
2010-01-01,148.0
2010-04-01,148.6
2010-07-01,149.1
2010-10-01,149.6
2011-01-01,149.9
2011-04-01,150.3
2011-07-01,150.5
2011-10-01,150.8
2012-01-01,151.0
2012-04-01,151.3
2012-07-01,151.5
2012-10-01,151.6
2013-01-01,151.7
2013-04-01,151.8
2013-07-01,151.8
2013-10-01,152.1
2014-01-01,152.3
2014-04-01,152.6
2014-07-01,152.8
2014-10-01,152.7
2015-01-01,152.8
2015-04-01,152.8
2015-07-01,152.7
2015-10-01,152.6
2016-01-01,152.4
2016-04-01,152.3
2016-07-01,152.1
2016-10-01,152.0
2017-01-01,151.9
2017-04-01,151.7
2017-07-01,151.5
2017-10-01,151.3
2018-01-01,151.1
2018-04-01,150.9
2018-07-01,150.7
2018-10-01,150.5
2019-01-01,150.3
2019-04-01,150.2
2019-07-01,150.0
2019-10-01,149.7
2020-01-01,149.6
2020-04-01,149.8
2020-07-01,150.1
2020-10-01,150.4
2021-01-01,151.0
2021-04-01,151.3
2021-07-01,151.6
2021-10-01,151.9
2022-01-01,152.0
2022-04-01,151.9
2022-07-01,151.6
2022-10-01,151.2
2023-01-01,150.6
2023-04-01,149.9
2023-07-01,149.2
2023-10-01,148.5
2024-01-01,147.8
2024-04-01,147.1
2024-07-01,146.3
2024-10-01,145.6
2025-01-01,144.8
