Tarih,TP_BISKREDIGSYIH_QCA1
2000-01-01,147.1
2000-04-01,146.2
2000-07-01,145.6
2000-10-01,143.9
2001-01-01,146.7
2001-04-01,146.7
2001-07-01,149.6
2001-10-01,150.6
2002-01-01,153.9
2002-04-01,155.0
2002-07-01,155.8
2002-10-01,154.8
2003-01-01,151.9
2003-04-01,152.1
2003-07-01,151.6
2003-10-01,151.4
2004-01-01,154.8
2004-04-01,154.5
2004-07-01,153.7
2004-10-01,153.7
2005-01-01,151.1
2005-04-01,152.8
2005-07-01,151.9
2005-10-01,149.7
2006-01-01,149.9
2006-04-01,149.8
2006-07-01,152.0
2006-10-01,154.2
2007-01-01,159.5
2007-04-01,159.7
2007-07-01,161.3
2007-10-01,161.9
2008-01-01,165.0
2008-04-01,163.9
2008-07-01,164.2
2008-10-01,167.4
2009-01-01,171.0
2009-04-01,176.7
2009-07-01,181.8
2009-10-01,183.2
2010-01-01,182.0
2010-04-01,182.2
2010-07-01,180.9
2010-10-01,180.0
2011-01-01,180.3
2011-04-01,180.3
2011-07-01,181.6
2011-10-01,179.4
2012-01-01,179.9
2012-04-01,181.7
2012-07-01,183.7
2012-10-01,184.8
2013-01-01,187.1
2013-04-01,189.3
2013-07-01,190.1
2013-10-01,190.3
2014-01-01,192.0
2014-04-01,192.4
2014-07-01,194.1
2014-10-01,194.1
2015-01-01,200.4
2015-04-01,202.7
2015-07-01,206.5
2015-10-01,209.3
2016-01-01,208.5
2016-04-01,212.1
2016-07-01,214.4
2016-10-01,213.8
2017-01-01,214.5
2017-04-01,214.3
2017-07-01,213.7
2017-10-01,213.6
2018-01-01,213.8
2018-04-01,215.9
2018-07-01,215.0
2018-10-01,216.1
2019-01-01,216.9
2019-04-01,219.5
2019-07-01,221.2
2019-10-01,221.2
2020-01-01,225.7
2020-04-01,237.2
2020-07-01,241.4
2020-10-01,244.5
2021-01-01,243.1
2021-04-01,237.0
2021-07-01,233.9
2021-10-01,230.7
2022-01-01,224.3
2022-04-01,218.6
2022-07-01,216.5
2022-10-01,215.2
2023-01-01,215.8
2023-04-01,217.2
2023-07-01,217.9
2023-10-01,218.1
2024-01-01,215.8
2024-04-01,216.3
2024-07-01,217.1
2024-10-01,216.8
2025-01-01,216.3
