Tarih,TP_BISKREDIGSYIH_QIN2
2000-01-01,55.2
2000-04-01,55.4
2000-07-01,55.6
2000-10-01,55.9
2001-01-01,56.2
2001-04-01,56.5
2001-07-01,56.7
2001-10-01,57.1
2002-01-01,57.5
2002-04-01,58.0
2002-07-01,58.5
2002-10-01,59.1
2003-01-01,59.8
2003-04-01,60.3
2003-07-01,60.8
2003-10-01,61.3
2004-01-01,61.9
2004-04-01,62.5
2004-07-01,63.1
2004-10-01,63.9
2005-01-01,64.8
2005-04-01,65.7
2005-07-01,66.9
2005-10-01,68.0
2006-01-01,69.5
2006-04-01,70.8
2006-07-01,72.3
2006-10-01,73.8
2007-01-01,75.5
2007-04-01,76.9
2007-07-01,78.4
2007-10-01,79.8
2008-01-01,81.6
2008-04-01,83.2
2008-07-01,84.8
2008-10-01,86.4
2009-01-01,88.1
2009-04-01,89.6
2009-07-01,91.2
2009-10-01,92.5
2010-01-01,94.0
2010-04-01,95.3
2010-07-01,96.5
2010-10-01,97.9
2011-01-01,99.2
2011-04-01,100.4
2011-07-01,101.4
2011-10-01,102.6
2012-01-01,103.6
2012-04-01,104.5
2012-07-01,105.4
2012-10-01,106.4
2013-01-01,107.1
2013-04-01,107.7
2013-07-01,108.1
2013-10-01,108.3
2014-01-01,108.6
2014-04-01,108.7
2014-07-01,108.9
2014-10-01,109.2
2015-01-01,109.3
2015-04-01,109.3
2015-07-01,109.4
2015-10-01,109.4
2016-01-01,109.1
2016-04-01,108.8
2016-07-01,108.2
2016-10-01,107.6
2017-01-01,107.1
2017-04-01,106.8
2017-07-01,106.6
2017-10-01,106.7
2018-01-01,106.6
2018-04-01,106.4
2018-07-01,106.1
2018-10-01,105.8
2019-01-01,105.3
2019-04-01,104.7
2019-07-01,104.1
2019-10-01,103.5
2020-01-01,102.8
2020-04-01,102.4
2020-07-01,102.2
2020-10-01,102.1
2021-01-01,101.9
2021-04-01,101.4
2021-07-01,100.8
2021-10-01,100.4
2022-01-01,100.0
2022-04-01,99.4
2022-07-01,98.9
2022-10-01,98.4
2023-01-01,98.0
2023-04-01,97.7
2023-07-01,97.3
2023-10-01,97.0
2024-01-01,96.7
2024-04-01,96.5
2024-07-01,96.3
2024-10-01,96.1
2025-01-01,96.0
