Tarih,TP_BISKREDIGSYIH_QBR3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,-0.9
2006-04-01,0.1
2006-07-01,0.9
2006-10-01,2.2
2007-01-01,0.3
2007-04-01,-0.9
2007-07-01,-0.5
2007-10-01,0.0
2008-01-01,1.5
2008-04-01,3.1
2008-07-01,4.8
2008-10-01,6.5
2009-01-01,5.1
2009-04-01,5.3
2009-07-01,6.1
2009-10-01,6.8
2010-01-01,4.6
2010-04-01,3.6
2010-07-01,5.1
2010-10-01,6.0
2011-01-01,5.4
2011-04-01,5.3
2011-07-01,5.4
2011-10-01,7.0
2012-01-01,6.6
2012-04-01,7.7
2012-07-01,7.4
2012-10-01,8.5
2013-01-01,7.7
2013-04-01,9.4
2013-07-01,8.4
2013-10-01,9.2
2014-01-01,7.5
2014-04-01,7.0
2014-07-01,7.8
2014-10-01,9.5
2015-01-01,11.4
2015-04-01,9.9
2015-07-01,13.4
2015-10-01,12.4
2016-01-01,8.4
2016-04-01,4.5
2016-07-01,3.0
2016-10-01,2.0
2017-01-01,-0.1
2017-04-01,-0.6
2017-07-01,-2.3
2017-10-01,-1.5
2018-01-01,-3.6
2018-04-01,-1.9
2018-07-01,-1.7
2018-10-01,-0.9
2019-01-01,-1.2
2019-04-01,-1.0
2019-07-01,-0.2
2019-10-01,0.0
2020-01-01,4.0
2020-04-01,6.1
2020-07-01,7.7
2020-10-01,6.2
2021-01-01,5.9
2021-04-01,0.7
2021-07-01,1.4
2021-10-01,2.1
2022-01-01,-1.0
2022-04-01,0.5
2022-07-01,1.3
2022-10-01,1.2
2023-01-01,-0.6
2023-04-01,-2.3
2023-07-01,-1.0
2023-10-01,-1.2
2024-01-01,-0.6
2024-04-01,1.2
2024-07-01,1.4
2024-10-01,4.5
2025-01-01,1.9
