Tarih,TP_BISKREDIGSYIH_QJP3
2000-01-01,-23.7
2000-04-01,-26.8
2000-07-01,-26.6
2000-10-01,-27.2
2001-01-01,-28.7
2001-04-01,-30.1
2001-07-01,-29.1
2001-10-01,-27.3
2002-01-01,-26.9
2002-04-01,-26.9
2002-07-01,-28.0
2002-10-01,-26.1
2003-01-01,-27.3
2003-04-01,-28.9
2003-07-01,-29.6
2003-10-01,-28.1
2004-01-01,-29.5
2004-04-01,-30.3
2004-07-01,-30.2
2004-10-01,-28.2
2005-01-01,-25.7
2005-04-01,-26.1
2005-07-01,-23.7
2005-10-01,-21.8
2006-01-01,-21.1
2006-04-01,-20.5
2006-07-01,-18.4
2006-10-01,-16.8
2007-01-01,-16.3
2007-04-01,-17.9
2007-07-01,-15.9
2007-10-01,-13.5
2008-01-01,-14.0
2008-04-01,-10.6
2008-07-01,-8.9
2008-10-01,-3.9
2009-01-01,-1.6
2009-04-01,0.7
2009-07-01,3.0
2009-10-01,4.5
2010-01-01,1.8
2010-04-01,0.6
2010-07-01,-1.1
2010-10-01,-2.0
2011-01-01,-2.3
2011-04-01,-1.7
2011-07-01,-0.2
2011-10-01,0.7
2012-01-01,0.2
2012-04-01,-2.2
2012-07-01,-0.4
2012-10-01,1.3
2013-01-01,1.9
2013-04-01,1.2
2013-07-01,1.4
2013-10-01,2.0
2014-01-01,1.4
2014-04-01,0.2
2014-07-01,1.0
2014-10-01,2.2
2015-01-01,1.4
2015-04-01,-0.4
2015-07-01,-0.5
2015-10-01,0.4
2016-01-01,-0.3
2016-04-01,0.7
2016-07-01,2.6
2016-10-01,4.3
2017-01-01,5.3
2017-04-01,4.8
2017-07-01,5.1
2017-10-01,5.7
2018-01-01,5.3
2018-04-01,6.2
2018-07-01,7.6
2018-10-01,9.5
2019-01-01,10.3
2019-04-01,10.9
2019-07-01,12.2
2019-10-01,13.9
2020-01-01,15.0
2020-04-01,25.6
2020-07-01,27.8
2020-10-01,28.6
2021-01-01,28.3
2021-04-01,24.9
2021-07-01,23.5
2021-10-01,24.0
2022-01-01,22.5
2022-04-01,22.3
2022-07-01,21.5
2022-10-01,21.0
2023-01-01,18.2
2023-04-01,15.9
2023-07-01,14.1
2023-10-01,12.7
2024-01-01,12.4
2024-04-01,11.2
2024-07-01,8.7
2024-10-01,9.1
2025-01-01,6.6
