Tarih,TP_BISKREDIGSYIH_QID1
2000-01-01,32.7
2000-04-01,33.7
2000-07-01,32.1
2000-10-01,31.8
2001-01-01,32.1
2001-04-01,32.3
2001-07-01,28.5
2001-10-01,28.0
2002-01-01,26.1
2002-04-01,25.0
2002-07-01,25.7
2002-10-01,26.2
2003-01-01,25.8
2003-04-01,24.9
2003-07-01,25.4
2003-10-01,26.3
2004-01-01,25.5
2004-04-01,28.3
2004-07-01,28.2
2004-10-01,28.9
2005-01-01,29.3
2005-04-01,30.1
2005-07-01,30.8
2005-10-01,29.1
2006-01-01,26.7
2006-04-01,26.9
2006-07-01,26.6
2006-10-01,27.1
2007-01-01,26.3
2007-04-01,25.3
2007-07-01,26.0
2007-10-01,28.0
2008-01-01,27.8
2008-04-01,28.7
2008-07-01,29.1
2008-10-01,29.2
2009-01-01,28.1
2009-04-01,27.2
2009-07-01,26.9
2009-10-01,27.4
2010-01-01,25.8
2010-04-01,27.4
2010-07-01,27.4
2010-10-01,28.7
2011-01-01,28.2
2011-04-01,29.5
2011-07-01,31.0
2011-10-01,32.1
2012-01-01,33.0
2012-04-01,34.6
2012-07-01,35.3
2012-10-01,36.8
2013-01-01,36.7
2013-04-01,38.4
2013-07-01,40.3
2013-10-01,41.2
2014-01-01,40.0
2014-04-01,41.1
2014-07-01,41.5
2014-10-01,42.1
2015-01-01,41.6
2015-04-01,42.5
2015-07-01,42.9
2015-10-01,43.2
2016-01-01,42.2
2016-04-01,42.6
2016-07-01,42.3
2016-10-01,43.1
2017-01-01,41.9
2017-04-01,42.1
2017-07-01,41.5
2017-10-01,42.0
2018-01-01,41.4
2018-04-01,42.4
2018-07-01,42.9
2018-10-01,43.1
2019-01-01,42.7
2019-04-01,42.8
2019-07-01,42.9
2019-10-01,42.9
2020-01-01,44.7
2020-04-01,43.7
2020-07-01,44.9
2020-10-01,44.2
2021-01-01,44.5
2021-04-01,43.6
2021-07-01,42.4
2021-10-01,41.8
2022-01-01,41.2
2022-04-01,41.7
2022-07-01,40.4
2022-10-01,40.0
2023-01-01,38.6
2023-04-01,38.8
2023-07-01,39.5
2023-10-01,40.0
2024-01-01,40.3
2024-04-01,40.5
2024-07-01,39.3
2024-10-01,39.8
2025-01-01,39.8
