Tarih,TP_BISKREDIGSYIH_QHK3
2000-01-01,-10.0
2000-04-01,-13.0
2000-07-01,-8.1
2000-10-01,-11.1
2001-01-01,-9.9
2001-04-01,-11.5
2001-07-01,-11.0
2001-10-01,-12.0
2002-01-01,-10.6
2002-04-01,-11.3
2002-07-01,-11.4
2002-10-01,-12.3
2003-01-01,-12.3
2003-04-01,-7.2
2003-07-01,-6.5
2003-10-01,-4.6
2004-01-01,-2.7
2004-04-01,-6.7
2004-07-01,-6.9
2004-10-01,-4.1
2005-01-01,-2.6
2005-04-01,1.8
2005-07-01,-1.9
2005-10-01,-1.5
2006-01-01,-2.9
2006-04-01,-0.8
2006-07-01,-1.2
2006-10-01,-0.4
2007-01-01,1.5
2007-04-01,10.0
2007-07-01,14.7
2007-10-01,7.2
2008-01-01,9.7
2008-04-01,13.8
2008-07-01,14.2
2008-10-01,7.1
2009-01-01,1.2
2009-04-01,8.6
2009-07-01,10.7
2009-10-01,6.2
2010-01-01,10.7
2010-04-01,20.3
2010-07-01,30.8
2010-10-01,29.1
2011-01-01,38.1
2011-04-01,40.7
2011-07-01,39.6
2011-10-01,29.8
2012-01-01,28.5
2012-04-01,26.5
2012-07-01,24.4
2012-10-01,21.2
2013-01-01,26.2
2013-04-01,37.6
2013-07-01,38.6
2013-10-01,34.1
2014-01-01,44.1
2014-04-01,49.3
2014-07-01,49.8
2014-10-01,37.2
2015-01-01,42.3
2015-04-01,38.0
2015-07-01,28.0
2015-10-01,35.4
2016-01-01,30.2
2016-04-01,31.5
2016-07-01,28.8
2016-10-01,29.7
2017-01-01,36.0
2017-04-01,45.4
2017-07-01,44.6
2017-10-01,47.9
2018-01-01,48.7
2018-04-01,39.7
2018-07-01,23.5
2018-10-01,22.2
2019-01-01,19.0
2019-04-01,20.9
2019-07-01,21.7
2019-10-01,20.9
2020-01-01,34.4
2020-04-01,34.9
2020-07-01,48.8
2020-10-01,35.4
2021-01-01,35.1
2021-04-01,38.0
2021-07-01,18.1
2021-10-01,2.4
2022-01-01,11.4
2022-04-01,10.0
2022-07-01,-2.5
2022-10-01,-6.1
2023-01-01,-5.5
2023-04-01,-10.7
2023-07-01,-21.8
2023-10-01,-25.3
2024-01-01,-30.8
2024-04-01,-49.2
2024-07-01,-53.2
2024-10-01,-60.1
2025-01-01,-56.1
