Tarih,TP_BISKREDIGSYIH_QHU1
2000-01-01,54.4
2000-04-01,56.8
2000-07-01,58.4
2000-10-01,60.1
2001-01-01,61.5
2001-04-01,60.3
2001-07-01,61.6
2001-10-01,62.0
2002-01-01,60.3
2002-04-01,62.4
2002-07-01,62.6
2002-10-01,61.5
2003-01-01,63.2
2003-04-01,67.6
2003-07-01,67.2
2003-10-01,72.0
2004-01-01,72.0
2004-04-01,74.9
2004-07-01,75.4
2004-10-01,77.4
2005-01-01,80.3
2005-04-01,84.0
2005-07-01,86.1
2005-10-01,88.2
2006-01-01,88.3
2006-04-01,94.6
2006-07-01,94.3
2006-10-01,93.6
2007-01-01,93.5
2007-04-01,98.1
2007-07-01,102.0
2007-10-01,108.7
2008-01-01,110.8
2008-04-01,105.4
2008-07-01,110.8
2008-10-01,117.6
2009-01-01,135.6
2009-04-01,126.3
2009-07-01,125.2
2009-10-01,129.5
2010-01-01,128.7
2010-04-01,135.4
2010-07-01,127.7
2010-10-01,126.4
2011-01-01,119.8
2011-04-01,120.3
2011-07-01,125.2
2011-10-01,126.5
2012-01-01,120.6
2012-04-01,119.4
2012-07-01,114.9
2012-10-01,116.1
2013-01-01,118.6
2013-04-01,114.8
2013-07-01,112.1
2013-10-01,108.4
2014-01-01,107.8
2014-04-01,107.4
2014-07-01,106.1
2014-10-01,105.2
2015-01-01,100.1
2015-04-01,100.5
2015-07-01,96.4
2015-10-01,95.3
2016-01-01,94.2
2016-04-01,94.8
2016-07-01,90.2
2016-10-01,90.2
2017-01-01,88.5
2017-04-01,87.1
2017-07-01,86.1
2017-10-01,83.9
2018-01-01,82.8
2018-04-01,85.6
2018-07-01,83.7
2018-10-01,82.3
2019-01-01,81.3
2019-04-01,81.9
2019-07-01,80.7
2019-10-01,82.4
2020-01-01,85.6
2020-04-01,87.6
2020-07-01,90.0
2020-10-01,91.2
2021-01-01,97.2
2021-04-01,95.1
2021-07-01,99.0
2021-10-01,102.1
2022-01-01,101.0
2022-04-01,103.5
2022-07-01,108.4
2022-10-01,101.5
2023-01-01,97.0
2023-04-01,93.5
2023-07-01,92.8
2023-10-01,90.6
2024-01-01,90.4
2024-04-01,91.0
2024-07-01,90.0
2024-10-01,89.8
2025-01-01,86.9
