Tarih,TP_BISKREDIGSYIH_QPT3
2000-01-01,33.3
2000-04-01,33.1
2000-07-01,33.3
2000-10-01,33.1
2001-01-01,34.9
2001-04-01,35.2
2001-07-01,35.4
2001-10-01,35.2
2002-01-01,33.2
2002-04-01,30.1
2002-07-01,30.3
2002-10-01,31.7
2003-01-01,33.9
2003-04-01,32.2
2003-07-01,29.8
2003-10-01,28.7
2004-01-01,30.3
2004-04-01,29.4
2004-07-01,28.2
2004-10-01,27.3
2005-01-01,24.2
2005-04-01,24.2
2005-07-01,22.0
2005-10-01,21.7
2006-01-01,20.9
2006-04-01,19.2
2006-07-01,17.1
2006-10-01,15.8
2007-01-01,14.4
2007-04-01,16.4
2007-07-01,15.5
2007-10-01,16.3
2008-01-01,17.4
2008-04-01,19.8
2008-07-01,18.7
2008-10-01,18.5
2009-01-01,20.6
2009-04-01,21.6
2009-07-01,20.0
2009-10-01,16.6
2010-01-01,13.9
2010-04-01,12.9
2010-07-01,8.9
2010-10-01,9.6
2011-01-01,9.5
2011-04-01,8.5
2011-07-01,7.6
2011-10-01,5.8
2012-01-01,4.8
2012-04-01,4.4
2012-07-01,5.1
2012-10-01,5.3
2013-01-01,1.7
2013-04-01,-2.0
2013-07-01,-7.4
2013-10-01,-12.6
2014-01-01,-18.0
2014-04-01,-21.5
2014-07-01,-24.0
2014-10-01,-25.5
2015-01-01,-27.9
2015-04-01,-30.7
2015-07-01,-33.6
2015-10-01,-35.5
2016-01-01,-38.0
2016-04-01,-39.6
2016-07-01,-41.7
2016-10-01,-44.2
2017-01-01,-43.6
2017-04-01,-44.0
2017-07-01,-44.7
2017-10-01,-45.1
2018-01-01,-46.0
2018-04-01,-47.4
2018-07-01,-46.9
2018-10-01,-47.1
2019-01-01,-46.5
2019-04-01,-46.0
2019-07-01,-45.5
2019-10-01,-46.4
2020-01-01,-43.9
2020-04-01,-32.4
2020-07-01,-27.9
2020-10-01,-23.9
2021-01-01,-19.5
2021-04-01,-24.2
2021-07-01,-24.9
2021-10-01,-26.3
2022-01-01,-28.5
2022-04-01,-30.9
2022-07-01,-32.9
2022-10-01,-34.6
2023-01-01,-37.4
2023-04-01,-39.2
2023-07-01,-37.2
2023-10-01,-39.4
2024-01-01,-38.8
2024-04-01,-37.0
2024-07-01,-35.8
2024-10-01,-35.0
2025-01-01,-32.3
