Tarih,TP_BISKREDIGSYIH_QCZ1
2000-01-01,71.4
2000-04-01,70.9
2000-07-01,73.3
2000-10-01,71.1
2001-01-01,72.8
2001-04-01,74.4
2001-07-01,65.1
2001-10-01,64.2
2002-01-01,63.8
2002-04-01,63.0
2002-07-01,64.2
2002-10-01,66.3
2003-01-01,64.7
2003-04-01,62.2
2003-07-01,60.6
2003-10-01,60.0
2004-01-01,61.7
2004-04-01,60.8
2004-07-01,60.3
2004-10-01,58.9
2005-01-01,59.4
2005-04-01,60.3
2005-07-01,60.4
2005-10-01,60.4
2006-01-01,62.2
2006-04-01,63.2
2006-07-01,63.0
2006-10-01,64.6
2007-01-01,65.1
2007-04-01,65.9
2007-07-01,67.8
2007-10-01,69.4
2008-01-01,70.3
2008-04-01,72.0
2008-07-01,74.2
2008-10-01,76.8
2009-01-01,76.3
2009-04-01,77.8
2009-07-01,79.1
2009-10-01,81.0
2010-01-01,81.1
2010-04-01,82.4
2010-07-01,81.8
2010-10-01,81.5
2011-01-01,81.7
2011-04-01,82.9
2011-07-01,83.8
2011-10-01,84.9
2012-01-01,84.9
2012-04-01,86.5
2012-07-01,87.7
2012-10-01,89.9
2013-01-01,90.7
2013-04-01,92.3
2013-07-01,92.5
2013-10-01,92.6
2014-01-01,91.4
2014-04-01,91.3
2014-07-01,90.6
2014-10-01,90.4
2015-01-01,89.1
2015-04-01,87.6
2015-07-01,86.9
2015-10-01,86.3
2016-01-01,85.4
2016-04-01,85.9
2016-07-01,86.8
2016-10-01,87.2
2017-01-01,87.6
2017-04-01,87.3
2017-07-01,87.1
2017-10-01,87.3
2018-01-01,87.4
2018-04-01,88.9
2018-07-01,89.8
2018-10-01,90.5
2019-01-01,89.0
2019-04-01,87.7
2019-07-01,86.6
2019-10-01,84.7
2020-01-01,84.8
2020-04-01,86.6
2020-07-01,87.8
2020-10-01,87.6
2021-01-01,89.3
2021-04-01,87.9
2021-07-01,88.6
2021-10-01,89.1
2022-01-01,89.1
2022-04-01,88.1
2022-07-01,89.3
2022-10-01,87.2
2023-01-01,85.1
2023-04-01,83.4
2023-07-01,82.7
2023-10-01,82.0
2024-01-01,83.8
2024-04-01,83.4
2024-07-01,84.3
2024-10-01,84.5
2025-01-01,82.1
