Tarih,TP_BISKREDIGSYIH_QZA2
2000-01-01,57.6
2000-04-01,57.8
2000-07-01,58.0
2000-10-01,58.2
2001-01-01,58.4
2001-04-01,58.5
2001-07-01,58.7
2001-10-01,59.0
2002-01-01,59.2
2002-04-01,59.3
2002-07-01,59.4
2002-10-01,59.3
2003-01-01,59.5
2003-04-01,59.6
2003-07-01,59.7
2003-10-01,59.9
2004-01-01,60.0
2004-04-01,60.0
2004-07-01,60.0
2004-10-01,60.2
2005-01-01,60.3
2005-04-01,60.6
2005-07-01,60.9
2005-10-01,61.3
2006-01-01,61.9
2006-04-01,62.5
2006-07-01,63.3
2006-10-01,64.1
2007-01-01,65.0
2007-04-01,65.9
2007-07-01,66.8
2007-10-01,67.8
2008-01-01,68.8
2008-04-01,69.8
2008-07-01,70.7
2008-10-01,71.6
2009-01-01,72.4
2009-04-01,73.0
2009-07-01,73.6
2009-10-01,74.1
2010-01-01,74.6
2010-04-01,75.1
2010-07-01,75.5
2010-10-01,75.8
2011-01-01,76.1
2011-04-01,76.3
2011-07-01,76.4
2011-10-01,76.5
2012-01-01,76.6
2012-04-01,76.7
2012-07-01,76.9
2012-10-01,77.1
2013-01-01,77.3
2013-04-01,77.5
2013-07-01,77.7
2013-10-01,77.9
2014-01-01,78.1
2014-04-01,78.3
2014-07-01,78.4
2014-10-01,78.5
2015-01-01,78.7
2015-04-01,78.8
2015-07-01,78.9
2015-10-01,79.1
2016-01-01,79.4
2016-04-01,79.5
2016-07-01,79.6
2016-10-01,79.6
2017-01-01,79.7
2017-04-01,79.7
2017-07-01,79.7
2017-10-01,79.6
2018-01-01,79.6
2018-04-01,79.5
2018-07-01,79.5
2018-10-01,79.4
2019-01-01,79.4
2019-04-01,79.3
2019-07-01,79.3
2019-10-01,79.2
2020-01-01,79.2
2020-04-01,79.2
2020-07-01,79.2
2020-10-01,79.1
2021-01-01,79.1
2021-04-01,78.7
2021-07-01,78.3
2021-10-01,77.9
2022-01-01,77.4
2022-04-01,77.0
2022-07-01,76.6
2022-10-01,76.2
2023-01-01,75.9
2023-04-01,75.5
2023-07-01,75.1
2023-10-01,74.7
2024-01-01,74.4
2024-04-01,74.0
2024-07-01,73.6
2024-10-01,73.2
2025-01-01,72.9
