Tarih,TP_BISKREDIGSYIH_QCH2
2000-01-01,205.1
2000-04-01,205.0
2000-07-01,204.8
2000-10-01,204.6
2001-01-01,204.6
2001-04-01,204.4
2001-07-01,204.0
2001-10-01,203.5
2002-01-01,203.2
2002-04-01,202.8
2002-07-01,202.4
2002-10-01,201.9
2003-01-01,201.6
2003-04-01,201.5
2003-07-01,201.4
2003-10-01,201.4
2004-01-01,201.5
2004-04-01,201.4
2004-07-01,201.2
2004-10-01,201.1
2005-01-01,201.0
2005-04-01,200.8
2005-07-01,200.6
2005-10-01,200.5
2006-01-01,200.2
2006-04-01,199.7
2006-07-01,199.3
2006-10-01,199.1
2007-01-01,199.3
2007-04-01,199.6
2007-07-01,199.8
2007-10-01,200.0
2008-01-01,200.2
2008-04-01,200.5
2008-07-01,200.9
2008-10-01,200.9
2009-01-01,201.2
2009-04-01,201.8
2009-07-01,202.5
2009-10-01,203.3
2010-01-01,204.1
2010-04-01,205.1
2010-07-01,206.1
2010-10-01,206.8
2011-01-01,207.8
2011-04-01,208.7
2011-07-01,209.7
2011-10-01,210.7
2012-01-01,211.7
2012-04-01,212.7
2012-07-01,213.9
2012-10-01,215.2
2013-01-01,216.3
2013-04-01,217.5
2013-07-01,218.5
2013-10-01,219.6
2014-01-01,220.7
2014-04-01,221.8
2014-07-01,222.7
2014-10-01,223.6
2015-01-01,224.5
2015-04-01,225.2
2015-07-01,226.1
2015-10-01,227.0
2016-01-01,228.3
2016-04-01,229.5
2016-07-01,230.7
2016-10-01,231.9
2017-01-01,233.2
2017-04-01,234.6
2017-07-01,236.1
2017-10-01,237.6
2018-01-01,239.4
2018-04-01,240.7
2018-07-01,241.9
2018-10-01,242.8
2019-01-01,243.9
2019-04-01,245.2
2019-07-01,246.7
2019-10-01,248.6
2020-01-01,250.4
2020-04-01,252.5
2020-07-01,254.8
2020-10-01,256.9
2021-01-01,259.6
2021-04-01,262.1
2021-07-01,264.3
2021-10-01,266.2
2022-01-01,268.2
2022-04-01,270.0
2022-07-01,271.6
2022-10-01,272.7
2023-01-01,273.9
2023-04-01,274.8
2023-07-01,275.7
2023-10-01,276.1
2024-01-01,276.7
2024-04-01,277.3
2024-07-01,277.7
2024-10-01,277.9
2025-01-01,278.2
