Tarih,TP_BISKREDIGSYIH_QKR2
2000-01-01,152.6
2000-04-01,152.7
2000-07-01,152.7
2000-10-01,152.6
2001-01-01,152.5
2001-04-01,152.4
2001-07-01,152.3
2001-10-01,152.2
2002-01-01,152.2
2002-04-01,152.2
2002-07-01,152.4
2002-10-01,152.5
2003-01-01,152.6
2003-04-01,152.6
2003-07-01,152.6
2003-10-01,152.4
2004-01-01,152.2
2004-04-01,151.8
2004-07-01,151.3
2004-10-01,150.7
2005-01-01,150.0
2005-04-01,149.5
2005-07-01,148.9
2005-10-01,148.4
2006-01-01,148.0
2006-04-01,147.7
2006-07-01,147.6
2006-10-01,147.7
2007-01-01,147.8
2007-04-01,148.0
2007-07-01,148.3
2007-10-01,148.6
2008-01-01,149.1
2008-04-01,149.8
2008-07-01,150.5
2008-10-01,151.5
2009-01-01,152.5
2009-04-01,153.7
2009-07-01,154.8
2009-10-01,155.9
2010-01-01,156.8
2010-04-01,157.7
2010-07-01,158.5
2010-10-01,159.1
2011-01-01,159.8
2011-04-01,160.4
2011-07-01,161.2
2011-10-01,161.9
2012-01-01,162.7
2012-04-01,163.4
2012-07-01,164.2
2012-10-01,164.9
2013-01-01,165.7
2013-04-01,166.5
2013-07-01,167.2
2013-10-01,167.8
2014-01-01,168.3
2014-04-01,168.9
2014-07-01,169.5
2014-10-01,170.2
2015-01-01,170.8
2015-04-01,171.3
2015-07-01,171.9
2015-10-01,172.5
2016-01-01,173.0
2016-04-01,173.5
2016-07-01,174.0
2016-10-01,174.4
2017-01-01,174.8
2017-04-01,175.3
2017-07-01,175.7
2017-10-01,176.0
2018-01-01,176.4
2018-04-01,176.8
2018-07-01,177.3
2018-10-01,177.8
2019-01-01,178.3
2019-04-01,179.0
2019-07-01,179.7
2019-10-01,180.5
2020-01-01,181.5
2020-04-01,182.7
2020-07-01,184.1
2020-10-01,185.5
2021-01-01,187.1
2021-04-01,188.6
2021-07-01,190.2
2021-10-01,191.7
2022-01-01,193.1
2022-04-01,194.5
2022-07-01,196.0
2022-10-01,197.4
2023-01-01,198.8
2023-04-01,200.1
2023-07-01,201.3
2023-10-01,202.4
2024-01-01,203.2
2024-04-01,204.0
2024-07-01,204.6
2024-10-01,205.2
2025-01-01,205.7
