Tarih,TP_BISKREDIGSYIH_QFR1
2000-01-01,135.3
2000-04-01,136.8
2000-07-01,138.8
2000-10-01,139.6
2001-01-01,141.2
2001-04-01,143.2
2001-07-01,144.1
2001-10-01,145.0
2002-01-01,145.6
2002-04-01,145.4
2002-07-01,145.0
2002-10-01,145.3
2003-01-01,146.2
2003-04-01,146.5
2003-07-01,146.0
2003-10-01,144.6
2004-01-01,144.9
2004-04-01,146.5
2004-07-01,147.3
2004-10-01,147.6
2005-01-01,147.6
2005-04-01,149.8
2005-07-01,149.9
2005-10-01,151.3
2006-01-01,152.0
2006-04-01,153.7
2006-07-01,154.2
2006-10-01,155.4
2007-01-01,156.1
2007-04-01,158.4
2007-07-01,159.4
2007-10-01,159.4
2008-01-01,160.2
2008-04-01,163.0
2008-07-01,165.4
2008-10-01,166.5
2009-01-01,169.0
2009-04-01,171.1
2009-07-01,172.6
2009-10-01,173.7
2010-01-01,173.4
2010-04-01,172.8
2010-07-01,172.4
2010-10-01,174.0
2011-01-01,174.4
2011-04-01,177.1
2011-07-01,179.4
2011-10-01,180.6
2012-01-01,182.6
2012-04-01,184.7
2012-07-01,184.7
2012-10-01,185.1
2013-01-01,184.8
2013-04-01,183.1
2013-07-01,183.4
2013-10-01,182.8
2014-01-01,184.7
2014-04-01,187.0
2014-07-01,188.3
2014-10-01,189.3
2015-01-01,191.8
2015-04-01,192.1
2015-07-01,192.8
2015-10-01,194.7
2016-01-01,193.7
2016-04-01,196.1
2016-07-01,197.3
2016-10-01,199.0
2017-01-01,201.1
2017-04-01,201.4
2017-07-01,201.2
2017-10-01,201.5
2018-01-01,202.7
2018-04-01,204.7
2018-07-01,205.6
2018-10-01,206.2
2019-01-01,207.9
2019-04-01,209.7
2019-07-01,211.8
2019-10-01,212.0
2020-01-01,216.2
2020-04-01,231.1
2020-07-01,235.7
2020-10-01,239.7
2021-01-01,237.9
2021-04-01,231.3
2021-07-01,229.1
2021-10-01,227.8
2022-01-01,226.3
2022-04-01,225.6
2022-07-01,226.5
2022-10-01,225.7
2023-01-01,223.0
2023-04-01,220.3
2023-07-01,218.2
2023-10-01,217.1
2024-01-01,214.0
2024-04-01,214.5
2024-07-01,214.9
2024-10-01,215.5
2025-01-01,215.0
