Tarih,TP_BISKREDIGSYIH_QLU1
2000-01-01,158.4
2000-04-01,158.5
2000-07-01,160.9
2000-10-01,164.6
2001-01-01,170.5
2001-04-01,175.4
2001-07-01,183.6
2001-10-01,189.1
2002-01-01,163.9
2002-04-01,166.5
2002-07-01,169.1
2002-10-01,176.0
2003-01-01,176.0
2003-04-01,177.9
2003-07-01,176.3
2003-10-01,176.4
2004-01-01,183.8
2004-04-01,190.8
2004-07-01,196.8
2004-10-01,205.0
2005-01-01,205.5
2005-04-01,205.9
2005-07-01,205.5
2005-10-01,199.7
2006-01-01,200.1
2006-04-01,201.4
2006-07-01,203.9
2006-10-01,208.9
2007-01-01,242.5
2007-04-01,270.7
2007-07-01,298.7
2007-10-01,326.7
2008-01-01,320.6
2008-04-01,316.4
2008-07-01,312.3
2008-10-01,308.8
2009-01-01,321.2
2009-04-01,336.3
2009-07-01,348.2
2009-10-01,346.2
2010-01-01,333.5
2010-04-01,319.8
2010-07-01,308.7
2010-10-01,299.3
2011-01-01,301.4
2011-04-01,313.8
2011-07-01,319.3
2011-10-01,328.0
2012-01-01,340.6
2012-04-01,344.7
2012-07-01,349.3
2012-10-01,349.2
2013-01-01,347.3
2013-04-01,345.4
2013-07-01,344.5
2013-10-01,343.5
2014-01-01,346.9
2014-04-01,345.5
2014-07-01,348.5
2014-10-01,386.1
2015-01-01,402.1
2015-04-01,397.3
2015-07-01,367.1
2015-10-01,381.5
2016-01-01,383.8
2016-04-01,371.2
2016-07-01,396.1
2016-10-01,367.9
2017-01-01,364.9
2017-04-01,381.7
2017-07-01,374.6
2017-10-01,382.5
2018-01-01,394.9
2018-04-01,383.0
2018-07-01,393.3
2018-10-01,421.9
2019-01-01,431.7
2019-04-01,439.9
2019-07-01,439.2
2019-10-01,436.3
2020-01-01,445.6
2020-04-01,462.7
2020-07-01,453.3
2020-10-01,454.6
2021-01-01,456.3
2021-04-01,451.7
2021-07-01,451.1
2021-10-01,457.7
2022-01-01,457.8
2022-04-01,475.1
2022-07-01,483.9
2022-10-01,482.3
2023-01-01,480.4
2023-04-01,475.3
2023-07-01,467.7
2023-10-01,467.1
2024-01-01,456.0
2024-04-01,451.7
2024-07-01,445.6
2024-10-01,441.8
2025-01-01,437.4
