Tarih,TP_BISKREDIGSYIH_QAR2
2000-01-01,26.5
2000-04-01,26.8
2000-07-01,27.0
2000-10-01,27.1
2001-01-01,27.2
2001-04-01,27.4
2001-07-01,27.4
2001-10-01,28.2
2002-01-01,31.2
2002-04-01,34.6
2002-07-01,37.4
2002-10-01,39.2
2003-01-01,40.3
2003-04-01,41.0
2003-07-01,41.6
2003-10-01,42.0
2004-01-01,42.2
2004-04-01,42.3
2004-07-01,42.3
2004-10-01,42.2
2005-01-01,42.0
2005-04-01,41.7
2005-07-01,41.3
2005-10-01,40.9
2006-01-01,40.4
2006-04-01,39.9
2006-07-01,39.4
2006-10-01,38.9
2007-01-01,38.4
2007-04-01,37.8
2007-07-01,37.3
2007-10-01,36.7
2008-01-01,36.1
2008-04-01,35.4
2008-07-01,34.8
2008-10-01,34.2
2009-01-01,33.6
2009-04-01,33.1
2009-07-01,32.5
2009-10-01,32.0
2010-01-01,31.4
2010-04-01,30.8
2010-07-01,30.2
2010-10-01,29.6
2011-01-01,29.0
2011-04-01,28.5
2011-07-01,27.9
2011-10-01,27.4
2012-01-01,26.9
2012-04-01,26.5
2012-07-01,26.0
2012-10-01,25.6
2013-01-01,25.3
2013-04-01,24.9
2013-07-01,24.6
2013-10-01,24.3
2014-01-01,24.0
2014-04-01,23.6
2014-07-01,23.3
2014-10-01,22.9
2015-01-01,22.5
2015-04-01,22.1
2015-07-01,21.8
2015-10-01,21.5
2016-01-01,21.3
2016-04-01,21.1
2016-07-01,20.8
2016-10-01,20.6
2017-01-01,20.4
2017-04-01,20.2
2017-07-01,20.1
2017-10-01,20.2
2018-01-01,20.3
2018-04-01,20.5
2018-07-01,21.1
2018-10-01,21.3
2019-01-01,21.6
2019-04-01,21.8
2019-07-01,22.1
2019-10-01,22.3
2020-01-01,22.5
2020-04-01,22.7
2020-07-01,23.0
2020-10-01,23.3
2021-01-01,23.5
2021-04-01,23.6
2021-07-01,23.5
2021-10-01,23.4
2022-01-01,23.3
2022-04-01,23.1
2022-07-01,23.0
2022-10-01,22.9
2023-01-01,22.8
2023-04-01,22.7
2023-07-01,22.7
2023-10-01,23.3
2024-01-01,23.5
2024-04-01,23.5
2024-07-01,23.5
2024-10-01,23.4
2025-01-01,23.4
