Tarih,TP_BISKREDIGSYIH_QFR2
2000-01-01,138.1
2000-04-01,138.4
2000-07-01,138.8
2000-10-01,139.3
2001-01-01,139.8
2001-04-01,140.3
2001-07-01,141.0
2001-10-01,141.6
2002-01-01,142.2
2002-04-01,142.8
2002-07-01,143.3
2002-10-01,143.9
2003-01-01,144.4
2003-04-01,145.0
2003-07-01,145.4
2003-10-01,145.8
2004-01-01,146.2
2004-04-01,146.6
2004-07-01,147.1
2004-10-01,147.6
2005-01-01,148.0
2005-04-01,148.5
2005-07-01,149.0
2005-10-01,149.6
2006-01-01,150.1
2006-04-01,150.7
2006-07-01,151.4
2006-10-01,152.0
2007-01-01,152.7
2007-04-01,153.5
2007-07-01,154.3
2007-10-01,155.0
2008-01-01,155.8
2008-04-01,156.6
2008-07-01,157.6
2008-10-01,158.6
2009-01-01,159.7
2009-04-01,160.8
2009-07-01,162.0
2009-10-01,163.2
2010-01-01,164.4
2010-04-01,165.4
2010-07-01,166.4
2010-10-01,167.4
2011-01-01,168.4
2011-04-01,169.6
2011-07-01,170.7
2011-10-01,171.9
2012-01-01,173.2
2012-04-01,174.5
2012-07-01,175.8
2012-10-01,177.0
2013-01-01,178.1
2013-04-01,179.1
2013-07-01,180.1
2013-10-01,181.0
2014-01-01,182.0
2014-04-01,183.0
2014-07-01,184.0
2014-10-01,185.1
2015-01-01,186.2
2015-04-01,187.3
2015-07-01,188.4
2015-10-01,189.6
2016-01-01,190.6
2016-04-01,191.7
2016-07-01,192.8
2016-10-01,194.0
2017-01-01,195.2
2017-04-01,196.4
2017-07-01,197.5
2017-10-01,198.6
2018-01-01,199.7
2018-04-01,200.8
2018-07-01,201.9
2018-10-01,203.0
2019-01-01,204.2
2019-04-01,205.4
2019-07-01,206.6
2019-10-01,207.8
2020-01-01,209.2
2020-04-01,211.3
2020-07-01,213.6
2020-10-01,216.0
2021-01-01,218.2
2021-04-01,220.0
2021-07-01,221.5
2021-10-01,222.9
2022-01-01,224.2
2022-04-01,225.4
2022-07-01,226.5
2022-10-01,227.6
2023-01-01,228.4
2023-04-01,229.0
2023-07-01,229.5
2023-10-01,229.9
2024-01-01,230.0
2024-04-01,230.2
2024-07-01,230.3
2024-10-01,230.5
2025-01-01,230.5
