Tarih,TP_BISKREDIGSYIH_QHK1
2000-01-01,163.9
2000-04-01,160.8
2000-07-01,165.9
2000-10-01,162.9
2001-01-01,164.1
2001-04-01,162.5
2001-07-01,163.0
2001-10-01,161.9
2002-01-01,163.2
2002-04-01,162.4
2002-07-01,162.1
2002-10-01,161.0
2003-01-01,160.8
2003-04-01,166.0
2003-07-01,166.7
2003-10-01,168.8
2004-01-01,171.0
2004-04-01,167.0
2004-07-01,166.9
2004-10-01,169.8
2005-01-01,171.6
2005-04-01,176.6
2005-07-01,173.2
2005-10-01,173.9
2006-01-01,172.7
2006-04-01,175.1
2006-07-01,175.0
2006-10-01,176.2
2007-01-01,178.6
2007-04-01,188.1
2007-07-01,194.1
2007-10-01,187.4
2008-01-01,190.9
2008-04-01,196.3
2008-07-01,198.0
2008-10-01,191.8
2009-01-01,186.5
2009-04-01,194.9
2009-07-01,198.2
2009-10-01,194.6
2010-01-01,200.3
2010-04-01,211.7
2010-07-01,224.6
2010-10-01,225.2
2011-01-01,237.1
2011-04-01,242.9
2011-07-01,244.9
2011-10-01,237.7
2012-01-01,239.0
2012-04-01,239.6
2012-07-01,239.9
2012-10-01,239.0
2013-01-01,246.7
2013-04-01,261.4
2013-07-01,265.8
2013-10-01,264.6
2014-01-01,278.6
2014-04-01,288.0
2014-07-01,292.9
2014-10-01,284.0
2015-01-01,293.2
2015-04-01,292.8
2015-07-01,286.2
2015-10-01,297.5
2016-01-01,295.8
2016-04-01,300.9
2016-07-01,301.8
2016-10-01,306.5
2017-01-01,316.9
2017-04-01,331.1
2017-07-01,335.1
2017-10-01,343.4
2018-01-01,349.4
2018-04-01,345.2
2018-07-01,332.8
2018-10-01,335.2
2019-01-01,335.7
2019-04-01,341.5
2019-07-01,346.1
2019-10-01,349.2
2020-01-01,367.4
2020-04-01,372.7
2020-07-01,392.2
2020-10-01,383.8
2021-01-01,388.5
2021-04-01,396.5
2021-07-01,380.7
2021-10-01,368.4
2022-01-01,381.0
2022-04-01,383.4
2022-07-01,373.9
2022-10-01,373.0
2023-01-01,376.4
2023-04-01,373.7
2023-07-01,364.5
2023-10-01,362.6
2024-01-01,358.4
2024-04-01,340.1
2024-07-01,335.8
2024-10-01,328.3
2025-01-01,331.8
