Tarih,TP_BISKREDIGSYIH_QPL2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,39.4
2002-04-01,40.5
2002-07-01,41.6
2002-10-01,42.8
2003-01-01,43.9
2003-04-01,44.8
2003-07-01,45.7
2003-10-01,46.4
2004-01-01,47.1
2004-04-01,47.6
2004-07-01,48.1
2004-10-01,48.2
2005-01-01,48.2
2005-04-01,48.3
2005-07-01,48.4
2005-10-01,48.5
2006-01-01,48.7
2006-04-01,48.9
2006-07-01,49.4
2006-10-01,49.9
2007-01-01,50.4
2007-04-01,51.0
2007-07-01,51.8
2007-10-01,52.6
2008-01-01,53.5
2008-04-01,54.5
2008-07-01,55.5
2008-10-01,57.0
2009-01-01,58.6
2009-04-01,60.0
2009-07-01,61.3
2009-10-01,62.4
2010-01-01,63.5
2010-04-01,64.7
2010-07-01,65.8
2010-10-01,66.9
2011-01-01,67.9
2011-04-01,68.9
2011-07-01,70.0
2011-10-01,71.1
2012-01-01,72.1
2012-04-01,73.0
2012-07-01,73.9
2012-10-01,74.8
2013-01-01,75.7
2013-04-01,76.7
2013-07-01,77.6
2013-10-01,78.4
2014-01-01,79.3
2014-04-01,80.1
2014-07-01,80.9
2014-10-01,81.7
2015-01-01,82.5
2015-04-01,83.4
2015-07-01,84.1
2015-10-01,84.8
2016-01-01,85.5
2016-04-01,86.2
2016-07-01,86.8
2016-10-01,87.5
2017-01-01,88.0
2017-04-01,88.5
2017-07-01,88.9
2017-10-01,89.2
2018-01-01,89.5
2018-04-01,89.7
2018-07-01,89.9
2018-10-01,90.1
2019-01-01,90.1
2019-04-01,90.1
2019-07-01,90.1
2019-10-01,90.0
2020-01-01,89.9
2020-04-01,89.9
2020-07-01,89.8
2020-10-01,89.8
2021-01-01,89.6
2021-04-01,89.3
2021-07-01,89.1
2021-10-01,88.7
2022-01-01,88.2
2022-04-01,87.6
2022-07-01,87.0
2022-10-01,86.1
2023-01-01,85.2
2023-04-01,84.2
2023-07-01,83.2
2023-10-01,82.1
2024-01-01,81.0
2024-04-01,80.0
2024-07-01,78.9
2024-10-01,77.8
2025-01-01,76.8
