Tarih,TP_BISKREDIGSYIH_QRU1
2000-01-01,23.4
2000-04-01,22.1
2000-07-01,22.5
2000-10-01,23.7
2001-01-01,22.3
2001-04-01,23.2
2001-07-01,24.7
2001-10-01,26.2
2002-01-01,26.1
2002-04-01,28.2
2002-07-01,28.9
2002-10-01,29.7
2003-01-01,31.3
2003-04-01,32.1
2003-07-01,34.2
2003-10-01,34.9
2004-01-01,37.4
2004-04-01,37.4
2004-07-01,37.2
2004-10-01,38.9
2005-01-01,35.6
2005-04-01,35.5
2005-07-01,39.2
2005-10-01,44.6
2006-01-01,43.8
2006-04-01,44.8
2006-07-01,44.7
2006-10-01,48.2
2007-01-01,49.3
2007-04-01,56.7
2007-07-01,59.7
2007-10-01,59.8
2008-01-01,61.3
2008-04-01,61.4
2008-07-01,62.1
2008-10-01,65.5
2009-01-01,70.5
2009-04-01,67.6
2009-07-01,70.0
2009-10-01,70.4
2010-01-01,65.7
2010-04-01,65.1
2010-07-01,64.7
2010-10-01,63.1
2011-01-01,60.1
2011-04-01,59.9
2011-07-01,62.7
2011-10-01,63.7
2012-01-01,62.9
2012-04-01,66.2
2012-07-01,68.1
2012-10-01,69.5
2013-01-01,71.8
2013-04-01,75.6
2013-07-01,79.1
2013-10-01,81.6
2014-01-01,84.1
2014-04-01,85.2
2014-07-01,88.5
2014-10-01,98.2
2015-01-01,98.7
2015-04-01,96.5
2015-07-01,101.9
2015-10-01,103.9
2016-01-01,102.6
2016-04-01,100.3
2016-07-01,100.4
2016-10-01,99.6
2017-01-01,96.8
2017-04-01,98.0
2017-07-01,98.7
2017-10-01,99.3
2018-01-01,98.2
2018-04-01,98.7
2018-07-01,98.1
2018-10-01,98.1
2019-01-01,96.0
2019-04-01,95.1
2019-07-01,97.0
2019-10-01,98.7
2020-01-01,105.4
2020-04-01,107.8
2020-07-01,114.0
2020-10-01,115.0
2021-01-01,112.4
2021-04-01,106.7
2021-07-01,104.0
2021-10-01,99.6
2022-01-01,97.3
2022-04-01,87.2
2022-07-01,88.0
2022-10-01,92.0
2023-01-01,95.0
2023-04-01,96.6
2023-07-01,98.2
2023-10-01,98.1
2024-01-01,97.3
2024-04-01,96.8
2024-07-01,98.9
2024-10-01,98.1
2025-01-01,95.3
