Tarih,TP_BISKREDIGSYIH_QGB3
2000-01-01,4.1
2000-04-01,6.3
2000-07-01,6.9
2000-10-01,6.5
2001-01-01,8.8
2001-04-01,8.4
2001-07-01,8.4
2001-10-01,9.7
2002-01-01,10.3
2002-04-01,11.4
2002-07-01,15.0
2002-10-01,13.3
2003-01-01,9.4
2003-04-01,10.1
2003-07-01,9.2
2003-10-01,7.6
2004-01-01,6.1
2004-04-01,5.3
2004-07-01,6.4
2004-10-01,5.8
2005-01-01,5.1
2005-04-01,7.3
2005-07-01,7.7
2005-10-01,7.6
2006-01-01,7.0
2006-04-01,7.8
2006-07-01,9.5
2006-10-01,7.9
2007-01-01,5.1
2007-04-01,4.3
2007-07-01,6.1
2007-10-01,6.0
2008-01-01,7.4
2008-04-01,5.4
2008-07-01,4.7
2008-10-01,9.1
2009-01-01,7.2
2009-04-01,2.5
2009-07-01,4.7
2009-10-01,3.2
2010-01-01,2.9
2010-04-01,-2.2
2010-07-01,-3.8
2010-10-01,-9.2
2011-01-01,-11.1
2011-04-01,-12.2
2011-07-01,-13.6
2011-10-01,-15.4
2012-01-01,-13.6
2012-04-01,-13.1
2012-07-01,-13.4
2012-10-01,-15.9
2013-01-01,-18.1
2013-04-01,-16.9
2013-07-01,-19.2
2013-10-01,-21.1
2014-01-01,-23.4
2014-04-01,-25.0
2014-07-01,-25.5
2014-10-01,-26.2
2015-01-01,-25.1
2015-04-01,-27.6
2015-07-01,-26.3
2015-10-01,-25.1
2016-01-01,-23.6
2016-04-01,-19.6
2016-07-01,-17.0
2016-10-01,-17.2
2017-01-01,-16.2
2017-04-01,-17.1
2017-07-01,-15.9
2017-10-01,-14.7
2018-01-01,-16.4
2018-04-01,-16.6
2018-07-01,-17.3
2018-10-01,-17.2
2019-01-01,-18.7
2019-04-01,-16.7
2019-07-01,-14.7
2019-10-01,-15.7
2020-01-01,-11.7
2020-04-01,-2.6
2020-07-01,0.8
2020-10-01,4.1
2021-01-01,4.7
2021-04-01,-0.6
2021-07-01,-4.5
2021-10-01,-8.6
2022-01-01,-15.0
2022-04-01,-17.3
2022-07-01,-17.7
2022-10-01,-20.1
2023-01-01,-18.5
2023-04-01,-21.3
2023-07-01,-21.2
2023-10-01,-21.2
2024-01-01,-22.2
2024-04-01,-21.4
2024-07-01,-20.8
2024-10-01,-20.4
2025-01-01,-20.8
