Tarih,TP_BISKREDIGSYIH_QNO2
2000-01-01,163.3
2000-04-01,163.3
2000-07-01,163.5
2000-10-01,163.3
2001-01-01,163.1
2001-04-01,163.1
2001-07-01,163.0
2001-10-01,163.3
2002-01-01,163.8
2002-04-01,164.4
2002-07-01,165.1
2002-10-01,165.7
2003-01-01,166.5
2003-04-01,167.5
2003-07-01,168.4
2003-10-01,169.1
2004-01-01,170.0
2004-04-01,171.0
2004-07-01,172.0
2004-10-01,172.9
2005-01-01,173.7
2005-04-01,174.5
2005-07-01,175.1
2005-10-01,175.8
2006-01-01,176.5
2006-04-01,177.1
2006-07-01,177.8
2006-10-01,178.4
2007-01-01,179.4
2007-04-01,180.7
2007-07-01,182.0
2007-10-01,183.5
2008-01-01,185.2
2008-04-01,186.9
2008-07-01,188.6
2008-10-01,190.6
2009-01-01,192.8
2009-04-01,195.2
2009-07-01,197.6
2009-10-01,199.8
2010-01-01,201.8
2010-04-01,203.9
2010-07-01,206.0
2010-10-01,207.9
2011-01-01,209.7
2011-04-01,211.3
2011-07-01,212.7
2011-10-01,213.9
2012-01-01,215.5
2012-04-01,217.0
2012-07-01,218.4
2012-10-01,219.7
2013-01-01,221.0
2013-04-01,222.3
2013-07-01,223.4
2013-10-01,224.4
2014-01-01,225.3
2014-04-01,226.2
2014-07-01,227.2
2014-10-01,228.2
2015-01-01,229.5
2015-04-01,231.0
2015-07-01,232.7
2015-10-01,234.6
2016-01-01,236.6
2016-04-01,238.6
2016-07-01,240.7
2016-10-01,242.7
2017-01-01,244.3
2017-04-01,245.8
2017-07-01,247.0
2017-10-01,248.0
2018-01-01,248.8
2018-04-01,249.4
2018-07-01,249.7
2018-10-01,249.8
2019-01-01,249.9
2019-04-01,250.3
2019-07-01,250.9
2019-10-01,251.6
2020-01-01,252.7
2020-04-01,254.4
2020-07-01,256.3
2020-10-01,258.5
2021-01-01,260.7
2021-04-01,262.4
2021-07-01,263.3
2021-10-01,263.1
2022-01-01,262.2
2022-04-01,260.6
2022-07-01,258.2
2022-10-01,255.9
2023-01-01,253.9
2023-04-01,252.4
2023-07-01,251.6
2023-10-01,251.1
2024-01-01,250.7
2024-04-01,250.3
2024-07-01,249.8
2024-10-01,249.4
2025-01-01,248.7
