Tarih,TP_BISKREDIGSYIH_QLU2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,194.7
2005-04-01,197.3
2005-07-01,199.7
2005-10-01,201.3
2006-01-01,202.9
2006-04-01,204.4
2006-07-01,206.0
2006-10-01,207.8
2007-01-01,212.3
2007-04-01,218.7
2007-07-01,226.9
2007-10-01,236.7
2008-01-01,245.4
2008-04-01,253.2
2008-07-01,260.2
2008-10-01,266.5
2009-01-01,273.3
2009-04-01,280.7
2009-07-01,288.5
2009-10-01,295.7
2010-01-01,301.6
2010-04-01,306.2
2010-07-01,309.8
2010-10-01,312.5
2011-01-01,315.1
2011-04-01,318.4
2011-07-01,321.8
2011-10-01,325.5
2012-01-01,329.8
2012-04-01,334.1
2012-07-01,338.5
2012-10-01,342.6
2013-01-01,346.3
2013-04-01,349.7
2013-07-01,352.8
2013-10-01,355.6
2014-01-01,358.5
2014-04-01,361.1
2014-07-01,363.7
2014-10-01,368.3
2015-01-01,373.7
2015-04-01,378.5
2015-07-01,381.2
2015-10-01,384.7
2016-01-01,388.0
2016-04-01,390.5
2016-07-01,394.1
2016-10-01,396.0
2017-01-01,397.6
2017-04-01,400.0
2017-07-01,401.8
2017-10-01,403.9
2018-01-01,406.6
2018-04-01,408.4
2018-07-01,410.7
2018-10-01,414.4
2019-01-01,418.5
2019-04-01,422.8
2019-07-01,426.9
2019-10-01,430.6
2020-01-01,434.6
2020-04-01,439.3
2020-07-01,443.4
2020-10-01,447.2
2021-01-01,451.0
2021-04-01,454.3
2021-07-01,457.4
2021-10-01,460.7
2022-01-01,463.8
2022-04-01,467.6
2022-07-01,471.8
2022-10-01,475.6
2023-01-01,479.2
2023-04-01,482.3
2023-07-01,484.7
2023-10-01,487.0
2024-01-01,488.5
2024-04-01,489.7
2024-07-01,490.4
2024-10-01,490.8
2025-01-01,490.8
