Tarih,TP_BISKREDIGSYIH_QIE2
2000-01-01,101.0
2000-04-01,103.0
2000-07-01,105.0
2000-10-01,106.8
2001-01-01,108.6
2001-04-01,110.4
2001-07-01,112.1
2001-10-01,114.0
2002-01-01,115.9
2002-04-01,117.8
2002-07-01,119.6
2002-10-01,121.1
2003-01-01,122.2
2003-04-01,123.5
2003-07-01,124.8
2003-10-01,126.6
2004-01-01,128.3
2004-04-01,129.9
2004-07-01,131.8
2004-10-01,134.2
2005-01-01,136.5
2005-04-01,138.9
2005-07-01,141.6
2005-10-01,144.7
2006-01-01,148.3
2006-04-01,152.5
2006-07-01,156.8
2006-10-01,161.3
2007-01-01,165.9
2007-04-01,170.4
2007-07-01,175.1
2007-10-01,179.6
2008-01-01,184.7
2008-04-01,190.3
2008-07-01,196.3
2008-10-01,203.1
2009-01-01,209.9
2009-04-01,216.6
2009-07-01,223.5
2009-10-01,230.3
2010-01-01,237.0
2010-04-01,243.2
2010-07-01,248.8
2010-10-01,255.0
2011-01-01,261.1
2011-04-01,266.7
2011-07-01,272.2
2011-10-01,277.6
2012-01-01,283.2
2012-04-01,288.7
2012-07-01,294.0
2012-10-01,298.4
2013-01-01,301.8
2013-04-01,304.6
2013-07-01,306.9
2013-10-01,309.0
2014-01-01,310.8
2014-04-01,311.8
2014-07-01,312.8
2014-10-01,314.0
2015-01-01,320.6
2015-04-01,325.1
2015-07-01,327.9
2015-10-01,329.9
2016-01-01,332.0
2016-04-01,334.1
2016-07-01,335.5
2016-10-01,336.8
2017-01-01,338.8
2017-04-01,339.5
2017-07-01,339.5
2017-10-01,338.9
2018-01-01,337.7
2018-04-01,336.5
2018-07-01,335.1
2018-10-01,334.0
2019-01-01,332.3
2019-04-01,330.3
2019-07-01,328.1
2019-10-01,324.9
2020-01-01,322.4
2020-04-01,319.9
2020-07-01,316.2
2020-10-01,312.0
2021-01-01,307.4
2021-04-01,302.4
2021-07-01,297.0
2021-10-01,291.4
2022-01-01,285.9
2022-04-01,280.3
2022-07-01,275.0
2022-10-01,269.0
2023-01-01,263.0
2023-04-01,257.1
2023-07-01,251.5
2023-10-01,245.8
2024-01-01,240.3
2024-04-01,235.0
2024-07-01,229.6
2024-10-01,223.8
2025-01-01,217.7
