Tarih,TP_BISKREDIGSYIH_QCO3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,2.4
2007-01-01,2.5
2007-04-01,3.2
2007-07-01,4.0
2007-10-01,4.2
2008-01-01,3.6
2008-04-01,3.8
2008-07-01,3.9
2008-10-01,4.2
2009-01-01,4.3
2009-04-01,5.1
2009-07-01,4.9
2009-10-01,5.3
2010-01-01,4.8
2010-04-01,5.4
2010-07-01,6.5
2010-10-01,7.9
2011-01-01,7.6
2011-04-01,7.7
2011-07-01,7.7
2011-10-01,7.6
2012-01-01,6.3
2012-04-01,6.0
2012-07-01,5.9
2012-10-01,6.5
2013-01-01,6.8
2013-04-01,7.9
2013-07-01,8.2
2013-10-01,8.5
2014-01-01,8.7
2014-04-01,10.1
2014-07-01,10.4
2014-10-01,11.5
2015-01-01,12.2
2015-04-01,13.5
2015-07-01,14.5
2015-10-01,15.0
2016-01-01,13.0
2016-04-01,11.2
2016-07-01,9.7
2016-10-01,7.7
2017-01-01,6.3
2017-04-01,5.8
2017-07-01,4.5
2017-10-01,3.6
2018-01-01,2.8
2018-04-01,2.2
2018-07-01,1.3
2018-10-01,1.6
2019-01-01,0.5
2019-04-01,0.2
2019-07-01,0.1
2019-10-01,-0.9
2020-01-01,1.4
2020-04-01,5.0
2020-07-01,5.8
2020-10-01,6.1
2021-01-01,5.2
2021-04-01,2.2
2021-07-01,0.1
2021-10-01,-1.4
2022-01-01,-2.6
2022-04-01,-3.6
2022-07-01,-4.9
2022-10-01,-5.2
2023-01-01,-6.7
2023-04-01,-7.1
2023-07-01,-7.2
2023-10-01,-7.9
2024-01-01,-8.1
2024-04-01,-8.3
2024-07-01,-9.1
2024-10-01,-9.5
2025-01-01,-9.8
