Tarih,TP_BISKREDIGSYIH_QBE2
2000-01-01,120.6
2000-04-01,122.3
2000-07-01,124.1
2000-10-01,126.0
2001-01-01,127.8
2001-04-01,129.7
2001-07-01,131.6
2001-10-01,133.5
2002-01-01,135.3
2002-04-01,137.0
2002-07-01,138.5
2002-10-01,140.0
2003-01-01,141.3
2003-04-01,142.7
2003-07-01,144.2
2003-10-01,145.8
2004-01-01,147.3
2004-04-01,148.8
2004-07-01,150.2
2004-10-01,151.6
2005-01-01,152.9
2005-04-01,154.2
2005-07-01,155.4
2005-10-01,156.5
2006-01-01,157.5
2006-04-01,158.5
2006-07-01,159.6
2006-10-01,160.5
2007-01-01,161.6
2007-04-01,162.8
2007-07-01,164.1
2007-10-01,165.4
2008-01-01,166.9
2008-04-01,168.6
2008-07-01,170.5
2008-10-01,172.8
2009-01-01,175.1
2009-04-01,177.6
2009-07-01,180.0
2009-10-01,182.4
2010-01-01,184.4
2010-04-01,186.4
2010-07-01,188.0
2010-10-01,189.3
2011-01-01,190.6
2011-04-01,192.1
2011-07-01,193.5
2011-10-01,195.1
2012-01-01,196.7
2012-04-01,198.5
2012-07-01,200.2
2012-10-01,201.6
2013-01-01,203.2
2013-04-01,204.9
2013-07-01,206.3
2013-10-01,207.5
2014-01-01,208.3
2014-04-01,209.1
2014-07-01,209.9
2014-10-01,210.9
2015-01-01,212.3
2015-04-01,213.2
2015-07-01,214.3
2015-10-01,215.2
2016-01-01,217.0
2016-04-01,218.9
2016-07-01,220.7
2016-10-01,222.4
2017-01-01,223.7
2017-04-01,224.8
2017-07-01,225.6
2017-10-01,226.4
2018-01-01,226.9
2018-04-01,227.4
2018-07-01,227.6
2018-10-01,227.9
2019-01-01,228.2
2019-04-01,228.4
2019-07-01,228.8
2019-10-01,229.0
2020-01-01,228.9
2020-04-01,229.1
2020-07-01,229.3
2020-10-01,229.8
2021-01-01,230.3
2021-04-01,230.3
2021-07-01,230.3
2021-10-01,229.9
2022-01-01,229.2
2022-04-01,228.4
2022-07-01,227.5
2022-10-01,226.2
2023-01-01,224.9
2023-04-01,223.4
2023-07-01,221.8
2023-10-01,220.2
2024-01-01,218.7
2024-04-01,217.1
2024-07-01,215.5
2024-10-01,213.8
2025-01-01,212.1
