Tarih,TP_BISKREDIGSYIH_QTR1
2000-01-01,25.1
2000-04-01,25.4
2000-07-01,26.2
2000-10-01,25.8
2001-01-01,29.5
2001-04-01,29.2
2001-07-01,31.3
2001-10-01,27.6
2002-01-01,24.1
2002-04-01,23.1
2002-07-01,22.7
2002-10-01,21.9
2003-01-01,22.2
2003-04-01,19.1
2003-07-01,19.2
2003-10-01,20.0
2004-01-01,20.7
2004-04-01,23.5
2004-07-01,23.2
2004-10-01,22.1
2005-01-01,22.4
2005-04-01,23.4
2005-07-01,24.1
2005-10-01,29.1
2006-01-01,31.3
2006-04-01,35.9
2006-07-01,35.4
2006-10-01,35.8
2007-01-01,35.2
2007-04-01,36.7
2007-07-01,38.4
2007-10-01,40.6
2008-01-01,44.4
2008-04-01,45.5
2008-07-01,46.4
2008-10-01,47.3
2009-01-01,47.2
2009-04-01,46.7
2009-07-01,47.9
2009-10-01,49.0
2010-01-01,50.0
2010-04-01,52.8
2010-07-01,52.9
2010-10-01,55.9
2011-01-01,57.6
2011-04-01,61.0
2011-07-01,61.9
2011-10-01,61.1
2012-01-01,60.5
2012-04-01,61.7
2012-07-01,61.5
2012-10-01,62.6
2013-01-01,63.5
2013-04-01,67.9
2013-07-01,70.2
2013-10-01,71.5
2014-01-01,70.9
2014-04-01,71.7
2014-07-01,73.5
2014-10-01,74.5
2015-01-01,77.1
2015-04-01,79.4
2015-07-01,81.9
2015-10-01,79.5
2016-01-01,78.4
2016-04-01,79.2
2016-07-01,80.4
2016-10-01,84.6
2017-01-01,84.7
2017-04-01,84.6
2017-07-01,83.2
2017-10-01,84.1
2018-01-01,84.2
2018-04-01,86.6
2018-07-01,93.5
2018-10-01,82.5
2019-01-01,83.5
2019-04-01,81.9
2019-07-01,79.1
2019-10-01,79.6
2020-01-01,82.6
2020-04-01,90.8
2020-07-01,94.0
2020-10-01,88.6
2021-01-01,88.4
2021-04-01,83.1
2021-07-01,79.1
2021-10-01,87.9
2022-01-01,84.6
2022-04-01,77.7
2022-07-01,70.2
2022-10-01,65.3
2023-01-01,62.4
2023-04-01,65.8
2023-07-01,60.7
2023-10-01,57.9
2024-01-01,54.8
2024-04-01,50.8
2024-07-01,49.9
2024-10-01,48.3
2025-01-01,49.6
