Tarih,TP_BISKREDIGSYIH_QIE3
2000-01-01,32.1
2000-04-01,25.1
2000-07-01,25.2
2000-10-01,21.8
2001-01-01,19.7
2001-04-01,19.3
2001-07-01,16.2
2001-10-01,20.7
2002-01-01,19.3
2002-04-01,19.4
2002-07-01,16.5
2002-10-01,11.5
2003-01-01,4.2
2003-04-01,6.0
2003-07-01,8.4
2003-10-01,14.6
2004-01-01,14.1
2004-04-01,11.6
2004-07-01,15.3
2004-10-01,25.0
2005-01-01,21.5
2005-04-01,21.9
2005-07-01,28.9
2005-10-01,32.0
2006-01-01,42.3
2006-04-01,50.6
2006-07-01,51.3
2006-10-01,52.6
2007-01-01,52.6
2007-04-01,50.6
2007-07-01,51.1
2007-10-01,47.7
2008-01-01,55.7
2008-04-01,62.6
2008-07-01,69.5
2008-10-01,79.8
2009-01-01,77.6
2009-04-01,74.6
2009-07-01,74.3
2009-10-01,72.1
2010-01-01,66.9
2010-04-01,58.1
2010-07-01,44.8
2010-10-01,55.3
2011-01-01,49.9
2011-04-01,40.8
2011-07-01,39.0
2011-10-01,35.1
2012-01-01,37.2
2012-04-01,36.4
2012-07-01,30.0
2012-10-01,13.7
2013-01-01,-3.4
2013-04-01,-13.2
2013-07-01,-21.7
2013-10-01,-25.3
2014-01-01,-29.6
2014-04-01,-41.5
2014-07-01,-42.1
2014-10-01,-35.7
2015-01-01,56.9
2015-04-01,20.4
2015-07-01,-9.5
2015-10-01,-24.5
2016-01-01,-21.4
2016-04-01,-19.9
2016-07-01,-33.0
2016-10-01,-33.4
2017-01-01,-19.4
2017-04-01,-42.2
2017-07-01,-52.4
2017-10-01,-61.1
2018-01-01,-70.5
2018-04-01,-68.4
2018-07-01,-69.1
2018-10-01,-63.2
2019-01-01,-71.4
2019-04-01,-73.8
2019-07-01,-76.3
2019-10-01,-91.8
2020-01-01,-76.6
2020-04-01,-74.0
2020-07-01,-92.6
2020-10-01,-97.9
2021-01-01,-103.0
2021-04-01,-108.6
2021-07-01,-110.3
2021-10-01,-110.8
2022-01-01,-107.4
2022-04-01,-103.8
2022-07-01,-97.1
2022-10-01,-106.7
2023-01-01,-104.0
2023-04-01,-98.6
2023-07-01,-90.8
2023-10-01,-90.5
2024-01-01,-84.0
2024-04-01,-77.9
2024-07-01,-77.2
2024-10-01,-82.1
2025-01-01,-85.3
