Tarih,TP_BISKREDIGSYIH_QUS1
2000-01-01,134.8
2000-04-01,135.7
2000-07-01,136.2
2000-10-01,136.7
2001-01-01,136.3
2001-04-01,138.4
2001-07-01,140.4
2001-10-01,141.4
2002-01-01,142.0
2002-04-01,143.2
2002-07-01,144.2
2002-10-01,145.6
2003-01-01,146.1
2003-04-01,148.5
2003-07-01,149.2
2003-10-01,149.3
2004-01-01,149.7
2004-04-01,150.6
2004-07-01,151.4
2004-10-01,153.2
2005-01-01,153.3
2005-04-01,154.8
2005-07-01,156.0
2005-10-01,157.3
2006-01-01,159.0
2006-04-01,160.9
2006-07-01,162.3
2006-10-01,163.9
2007-01-01,164.9
2007-04-01,167.5
2007-07-01,169.2
2007-10-01,170.6
2008-01-01,171.4
2008-04-01,171.2
2008-07-01,172.0
2008-10-01,170.7
2009-01-01,170.3
2009-04-01,170.9
2009-07-01,171.1
2009-10-01,169.5
2010-01-01,167.5
2010-04-01,165.0
2010-07-01,162.9
2010-10-01,160.7
2011-01-01,159.0
2011-04-01,157.7
2011-07-01,156.8
2011-10-01,156.1
2012-01-01,154.5
2012-04-01,153.4
2012-07-01,153.0
2012-10-01,152.7
2013-01-01,151.5
2013-04-01,151.6
2013-07-01,151.6
2013-10-01,151.6
2014-01-01,151.5
2014-04-01,151.2
2014-07-01,150.4
2014-10-01,150.6
2015-01-01,149.9
2015-04-01,150.7
2015-07-01,151.0
2015-10-01,150.8
2016-01-01,151.4
2016-04-01,152.1
2016-07-01,153.0
2016-10-01,152.5
2017-01-01,152.7
2017-04-01,153.4
2017-07-01,153.4
2017-10-01,154.1
2018-01-01,153.3
2018-04-01,153.9
2018-07-01,153.4
2018-10-01,153.4
2019-01-01,153.3
2019-04-01,153.6
2019-07-01,153.7
2019-10-01,153.1
2020-01-01,156.4
2020-04-01,162.2
2020-07-01,163.3
2020-10-01,164.6
2021-01-01,164.9
2021-04-01,162.9
2021-07-01,161.2
2021-10-01,159.8
2022-01-01,158.5
2022-04-01,157.3
2022-07-01,155.5
2022-10-01,153.9
2023-01-01,152.1
2023-04-01,150.6
2023-07-01,149.0
2023-10-01,147.7
2024-01-01,146.8
2024-04-01,145.9
2024-07-01,145.2
2024-10-01,143.1
2025-01-01,142.1
