Tarih,TP_BISKREDIGSYIH_QSA1
2000-01-01,31.8
2000-04-01,30.6
2000-07-01,30.0
2000-10-01,29.8
2001-01-01,29.6
2001-04-01,30.3
2001-07-01,31.5
2001-10-01,32.5
2002-01-01,33.1
2002-04-01,34.7
2002-07-01,34.4
2002-10-01,33.4
2003-01-01,33.9
2003-04-01,33.8
2003-07-01,33.9
2003-10-01,33.0
2004-01-01,30.9
2004-04-01,33.5
2004-07-01,36.6
2004-10-01,37.3
2005-01-01,36.3
2005-04-01,39.0
2005-07-01,39.5
2005-10-01,39.8
2006-01-01,38.7
2006-04-01,38.0
2006-07-01,37.9
2006-10-01,38.7
2007-01-01,39.9
2007-04-01,42.6
2007-07-01,45.5
2007-10-01,44.5
2008-01-01,44.0
2008-04-01,43.1
2008-07-01,41.9
2008-10-01,44.3
2009-01-01,46.9
2009-04-01,52.3
2009-07-01,55.9
2009-10-01,51.8
2010-01-01,49.7
2010-04-01,47.6
2010-07-01,46.8
2010-10-01,44.6
2011-01-01,43.7
2011-04-01,41.9
2011-07-01,41.2
2011-10-01,37.2
2012-01-01,39.2
2012-04-01,38.5
2012-07-01,36.7
2012-10-01,36.6
2013-01-01,38.3
2013-04-01,40.4
2013-07-01,41.1
2013-10-01,41.3
2014-01-01,43.4
2014-04-01,44.6
2014-07-01,45.6
2014-10-01,45.2
2015-01-01,47.6
2015-04-01,50.5
2015-07-01,53.1
2015-10-01,56.8
2016-01-01,59.3
2016-04-01,62.2
2016-07-01,61.7
2016-10-01,59.2
2017-01-01,58.4
2017-04-01,58.1
2017-07-01,57.0
2017-10-01,55.3
2018-01-01,55.4
2018-04-01,52.8
2018-07-01,51.6
2018-10-01,50.0
2019-01-01,49.4
2019-04-01,51.0
2019-07-01,51.9
2019-10-01,53.5
2020-01-01,59.3
2020-04-01,65.3
2020-07-01,69.8
2020-10-01,75.0
2021-01-01,76.7
2021-04-01,74.1
2021-07-01,71.0
2021-10-01,66.9
2022-01-01,64.3
2022-04-01,60.8
2022-07-01,60.3
2022-10-01,58.9
2023-01-01,59.2
2023-04-01,61.9
2023-07-01,64.2
2023-10-01,65.3
2024-01-01,67.1
2024-04-01,67.4
2024-07-01,69.8
2024-10-01,71.8
2025-01-01,74.9
