Tarih,TP_BISKREDIGSYIH_QAU1
2000-01-01,132.8
2000-04-01,135.0
2000-07-01,135.8
2000-10-01,138.9
2001-01-01,141.1
2001-04-01,139.7
2001-07-01,140.5
2001-10-01,139.2
2002-01-01,138.9
2002-04-01,142.2
2002-07-01,144.8
2002-10-01,145.1
2003-01-01,145.6
2003-04-01,148.2
2003-07-01,149.3
2003-10-01,152.7
2004-01-01,153.1
2004-04-01,155.2
2004-07-01,156.2
2004-10-01,158.7
2005-01-01,160.0
2005-04-01,164.0
2005-07-01,166.0
2005-10-01,169.1
2006-01-01,169.9
2006-04-01,173.9
2006-07-01,176.4
2006-10-01,178.5
2007-01-01,179.2
2007-04-01,181.8
2007-07-01,185.4
2007-10-01,187.4
2008-01-01,188.5
2008-04-01,188.6
2008-07-01,187.9
2008-10-01,188.0
2009-01-01,185.7
2009-04-01,184.4
2009-07-01,185.5
2009-10-01,186.4
2010-01-01,185.9
2010-04-01,184.3
2010-07-01,181.5
2010-10-01,177.9
2011-01-01,176.5
2011-04-01,174.6
2011-07-01,174.6
2011-10-01,173.4
2012-01-01,173.4
2012-04-01,174.4
2012-07-01,174.7
2012-10-01,175.5
2013-01-01,175.8
2013-04-01,179.2
2013-07-01,179.1
2013-10-01,181.4
2014-01-01,180.3
2014-04-01,182.3
2014-07-01,184.3
2014-10-01,186.8
2015-01-01,191.0
2015-04-01,193.6
2015-07-01,196.1
2015-10-01,197.1
2016-01-01,198.8
2016-04-01,200.1
2016-07-01,200.1
2016-10-01,198.9
2017-01-01,195.5
2017-04-01,195.3
2017-07-01,193.7
2017-10-01,194.1
2018-01-01,194.9
2018-04-01,194.2
2018-07-01,194.3
2018-10-01,193.8
2019-01-01,193.2
2019-04-01,192.1
2019-07-01,190.8
2019-10-01,189.6
2020-01-01,192.7
2020-04-01,192.9
2020-07-01,193.4
2020-10-01,191.8
2021-01-01,190.9
2021-04-01,186.2
2021-07-01,183.7
2021-10-01,181.4
2022-01-01,178.6
2022-04-01,177.4
2022-07-01,174.5
2022-10-01,170.7
2023-01-01,168.9
2023-04-01,169.1
2023-07-01,169.0
2023-10-01,168.9
2024-01-01,170.2
2024-04-01,170.6
2024-07-01,171.2
2024-10-01,173.4
2025-01-01,174.2
