Tarih,TP_BISKREDIGSYIH_QCH1
2000-01-01,193.8
2000-04-01,193.3
2000-07-01,191.1
2000-10-01,191.3
2001-01-01,196.1
2001-04-01,192.0
2001-07-01,188.7
2001-10-01,186.8
2002-01-01,189.6
2002-04-01,188.4
2002-07-01,188.2
2002-10-01,188.0
2003-01-01,190.6
2003-04-01,192.3
2003-07-01,195.0
2003-10-01,195.7
2004-01-01,198.6
2004-04-01,193.6
2004-07-01,193.9
2004-10-01,194.4
2005-01-01,194.0
2005-04-01,194.1
2005-07-01,192.6
2005-10-01,195.7
2006-01-01,189.8
2006-04-01,188.6
2006-07-01,189.1
2006-10-01,193.1
2007-01-01,200.0
2007-04-01,201.6
2007-07-01,200.7
2007-10-01,201.3
2008-01-01,199.3
2008-04-01,204.0
2008-07-01,204.1
2008-10-01,198.6
2009-01-01,203.0
2009-04-01,209.9
2009-07-01,210.1
2009-10-01,214.5
2010-01-01,214.8
2010-04-01,217.9
2010-07-01,218.1
2010-10-01,214.6
2011-01-01,221.0
2011-04-01,219.2
2011-07-01,221.3
2011-10-01,221.5
2012-01-01,222.0
2012-04-01,224.0
2012-07-01,228.3
2012-10-01,229.1
2013-01-01,229.3
2013-04-01,228.9
2013-07-01,228.2
2013-10-01,230.1
2014-01-01,229.9
2014-04-01,231.4
2014-07-01,229.7
2014-10-01,229.9
2015-01-01,229.4
2015-04-01,228.6
2015-07-01,230.0
2015-10-01,234.1
2016-01-01,239.8
2016-04-01,239.3
2016-07-01,241.2
2016-10-01,241.1
2017-01-01,243.2
2017-04-01,247.7
2017-07-01,249.1
2017-10-01,251.2
2018-01-01,257.5
2018-04-01,251.2
2018-07-01,248.9
2018-10-01,244.5
2019-01-01,248.5
2019-04-01,252.9
2019-07-01,259.6
2019-10-01,266.0
2020-01-01,266.0
2020-04-01,273.5
2020-07-01,278.9
2020-10-01,276.8
2021-01-01,288.9
2021-04-01,285.4
2021-07-01,285.1
2021-10-01,279.6
2022-01-01,282.1
2022-04-01,281.2
2022-07-01,278.0
2022-10-01,271.3
2023-01-01,273.4
2023-04-01,270.6
2023-07-01,270.3
2023-10-01,263.6
2024-01-01,265.5
2024-04-01,268.7
2024-07-01,265.8
2024-10-01,261.0
2025-01-01,264.7
