Tarih,TP_BISKREDIGSYIH_QSE2
2000-01-01,150.3
2000-04-01,150.7
2000-07-01,151.0
2000-10-01,151.2
2001-01-01,151.5
2001-04-01,152.0
2001-07-01,152.7
2001-10-01,153.9
2002-01-01,155.0
2002-04-01,156.0
2002-07-01,157.0
2002-10-01,157.8
2003-01-01,158.4
2003-04-01,159.4
2003-07-01,160.3
2003-10-01,161.3
2004-01-01,161.8
2004-04-01,162.0
2004-07-01,162.0
2004-10-01,161.8
2005-01-01,161.4
2005-04-01,161.0
2005-07-01,160.5
2005-10-01,160.0
2006-01-01,159.5
2006-04-01,158.9
2006-07-01,158.1
2006-10-01,157.1
2007-01-01,156.2
2007-04-01,155.4
2007-07-01,154.4
2007-10-01,153.8
2008-01-01,153.6
2008-04-01,153.5
2008-07-01,153.6
2008-10-01,153.9
2009-01-01,154.0
2009-04-01,154.3
2009-07-01,154.5
2009-10-01,154.8
2010-01-01,154.7
2010-04-01,154.3
2010-07-01,154.0
2010-10-01,153.8
2011-01-01,154.0
2011-04-01,154.4
2011-07-01,154.8
2011-10-01,155.3
2012-01-01,155.8
2012-04-01,156.4
2012-07-01,157.3
2012-10-01,158.5
2013-01-01,160.0
2013-04-01,161.6
2013-07-01,163.3
2013-10-01,165.2
2014-01-01,167.1
2014-04-01,169.2
2014-07-01,171.5
2014-10-01,173.6
2015-01-01,175.5
2015-04-01,177.4
2015-07-01,179.3
2015-10-01,181.3
2016-01-01,183.2
2016-04-01,185.1
2016-07-01,186.9
2016-10-01,188.6
2017-01-01,190.0
2017-04-01,191.5
2017-07-01,192.7
2017-10-01,194.1
2018-01-01,195.2
2018-04-01,196.3
2018-07-01,197.3
2018-10-01,198.3
2019-01-01,199.2
2019-04-01,200.2
2019-07-01,201.3
2019-10-01,202.6
2020-01-01,204.0
2020-04-01,205.8
2020-07-01,207.7
2020-10-01,209.9
2021-01-01,211.7
2021-04-01,213.2
2021-07-01,214.0
2021-10-01,214.3
2022-01-01,213.9
2022-04-01,212.6
2022-07-01,210.9
2022-10-01,209.2
2023-01-01,207.3
2023-04-01,206.1
2023-07-01,204.8
2023-10-01,203.7
2024-01-01,202.5
2024-04-01,201.2
2024-07-01,199.7
2024-10-01,198.3
2025-01-01,197.1
