Tarih,TP_BISKREDIGSYIH_QPT1
2000-01-01,136.7
2000-04-01,138.6
2000-07-01,140.8
2000-10-01,142.8
2001-01-01,146.8
2001-04-01,149.5
2001-07-01,152.0
2001-10-01,154.4
2002-01-01,154.7
2002-04-01,153.9
2002-07-01,156.4
2002-10-01,160.3
2003-01-01,165.1
2003-04-01,166.0
2003-07-01,166.2
2003-10-01,167.6
2004-01-01,171.8
2004-04-01,173.5
2004-07-01,174.9
2004-10-01,176.6
2005-01-01,176.0
2005-04-01,178.5
2005-07-01,178.7
2005-10-01,180.9
2006-01-01,182.5
2006-04-01,183.2
2006-07-01,183.4
2006-10-01,184.2
2007-01-01,185.0
2007-04-01,189.4
2007-07-01,190.8
2007-10-01,193.9
2008-01-01,197.4
2008-04-01,202.5
2008-07-01,203.9
2008-10-01,206.3
2009-01-01,211.2
2009-04-01,215.1
2009-07-01,216.3
2009-10-01,215.4
2010-01-01,215.2
2010-04-01,216.7
2010-07-01,214.9
2010-10-01,218.0
2011-01-01,220.2
2011-04-01,221.4
2011-07-01,222.8
2011-10-01,223.1
2012-01-01,224.2
2012-04-01,225.8
2012-07-01,228.7
2012-10-01,231.0
2013-01-01,229.4
2013-04-01,227.5
2013-07-01,223.4
2013-10-01,219.3
2014-01-01,214.8
2014-04-01,211.7
2014-07-01,209.6
2014-10-01,208.4
2015-01-01,206.0
2015-04-01,203.1
2015-07-01,199.8
2015-10-01,197.3
2016-01-01,194.2
2016-04-01,191.7
2016-07-01,188.4
2016-10-01,184.7
2017-01-01,184.0
2017-04-01,182.2
2017-07-01,179.9
2017-10-01,177.9
2018-01-01,175.2
2018-04-01,171.9
2018-07-01,170.5
2018-10-01,168.2
2019-01-01,166.7
2019-04-01,165.1
2019-07-01,163.4
2019-10-01,160.2
2020-01-01,160.4
2020-04-01,170.3
2020-07-01,173.3
2020-10-01,176.2
2021-01-01,179.4
2021-04-01,173.4
2021-07-01,171.3
2021-10-01,168.3
2022-01-01,164.4
2022-04-01,160.2
2022-07-01,156.1
2022-10-01,152.2
2023-01-01,147.0
2023-04-01,142.5
2023-07-01,142.0
2023-10-01,137.1
2024-01-01,134.9
2024-04-01,134.0
2024-07-01,132.5
2024-10-01,130.6
2025-01-01,130.6
