Tarih,TP_BISKREDIGSYIH_QCN1
2000-01-01,103.3
2000-04-01,105.5
2000-07-01,106.5
2000-10-01,109.4
2001-01-01,111.6
2001-04-01,113.0
2001-07-01,117.6
2001-10-01,112.3
2002-01-01,111.7
2002-04-01,113.9
2002-07-01,117.0
2002-10-01,113.1
2003-01-01,112.1
2003-04-01,107.8
2003-07-01,104.8
2003-10-01,100.8
2004-01-01,101.2
2004-04-01,100.1
2004-07-01,98.4
2004-10-01,93.6
2005-01-01,94.0
2005-04-01,93.8
2005-07-01,91.7
2005-10-01,90.4
2006-01-01,89.6
2006-04-01,88.5
2006-07-01,87.9
2006-10-01,87.6
2007-01-01,88.0
2007-04-01,87.8
2007-07-01,90.5
2007-10-01,92.2
2008-01-01,90.9
2008-04-01,97.1
2008-07-01,104.2
2008-10-01,111.6
2009-01-01,112.5
2009-04-01,109.8
2009-07-01,111.4
2009-10-01,110.2
2010-01-01,110.1
2010-04-01,110.5
2010-07-01,105.0
2010-10-01,102.8
2011-01-01,102.7
2011-04-01,102.7
2011-07-01,106.6
2011-10-01,109.2
2012-01-01,108.7
2012-04-01,111.8
2012-07-01,111.7
2012-10-01,115.8
2013-01-01,115.6
2013-04-01,118.7
2013-07-01,120.5
2013-10-01,124.5
2014-01-01,127.3
2014-04-01,128.3
2014-07-01,133.0
2014-10-01,136.3
2015-01-01,136.3
2015-04-01,136.7
2015-07-01,145.6
2015-10-01,145.5
2016-01-01,143.5
2016-04-01,142.6
2016-07-01,142.5
2016-10-01,142.8
2017-01-01,142.6
2017-04-01,142.4
2017-07-01,139.9
2017-10-01,137.6
2018-01-01,136.6
2018-04-01,137.8
2018-07-01,139.9
2018-10-01,143.5
2019-01-01,143.5
2019-04-01,146.8
2019-07-01,152.0
2019-10-01,154.2
2020-01-01,160.3
2020-04-01,168.3
2020-07-01,167.6
2020-10-01,158.2
2021-01-01,155.9
2021-04-01,148.3
2021-07-01,148.1
2021-10-01,146.9
2022-01-01,141.6
2022-04-01,149.1
2022-07-01,150.6
2022-10-01,144.3
2023-01-01,137.8
2023-04-01,137.5
2023-07-01,142.0
2023-10-01,142.0
2024-01-01,145.8
2024-04-01,142.1
2024-07-01,137.6
2024-10-01,139.0
2025-01-01,136.2
