Tarih,TP_TSENETLER_TUTAR
2014-04-01,21040847.0
2014-05-01,21543904.0
2014-06-01,22823826.0
2014-07-01,23228039.0
2014-08-01,23592999.0
2014-09-01,23718927.0
2014-10-01,23496141.0
2014-11-01,24080638.0
2014-12-01,23561807.0
2015-01-01,23781866.0
2015-02-01,24278559.0
2015-03-01,24657253.0
2015-04-01,25469973.0
2015-05-01,26185504.0
2015-06-01,27220656.0
2015-07-01,26921744.0
2015-08-01,27202916.0
2015-09-01,27270263.0
2015-10-01,26949926.0
2015-11-01,26994370.0
2015-12-01,27605182.0
2016-01-01,27859118.0
2016-02-01,28326334.0
2016-03-01,29343123.0
2016-04-01,29718560.0
2016-05-01,30162595.0
2016-06-01,30200232.0
2016-07-01,29867102.0
2016-08-01,29422827.0
2016-09-01,29035444.0
2016-10-01,28777373.0
2016-11-01,29617927.0
2016-12-01,30332377.0
2017-01-01,30212937.0
2017-02-01,30193708.0
2017-03-01,30416155.0
2017-04-01,30159670.0
2017-05-01,31403753.0
2017-06-01,32136600.0
2017-07-01,31929364.0
2017-08-01,32554513.0
2017-09-01,32548554.0
2017-10-01,32339794.0
2017-11-01,33055773.0
2017-12-01,33842885.0
2018-01-01,33917180.0
2018-02-01,34600656.0
2018-03-01,36011576.0
2018-04-01,37823317.0
2018-05-01,38169238.0
2018-06-01,39155225.0
2018-07-01,39605421.0
2018-08-01,41174675.0
2018-09-01,40416598.0
2018-10-01,38812604.0
2018-11-01,38006658.0
2018-12-01,37980018.0
2019-01-01,36632202.0
2019-02-01,36534717.0
2019-03-01,37803397.0
2019-04-01,38966241.0
2019-05-01,39559968.0
2019-06-01,39551169.0
2019-07-01,39288026.0
2019-08-01,38186106.0
2019-09-01,38206146.0
2019-10-01,37837640.0
2019-11-01,38583382.0
2019-12-01,39161978.0
2020-01-01,38949889.0
2020-02-01,39715334.0
2020-03-01,40607980.0
2020-04-01,40048085.0
2020-05-01,38806718.0
2020-06-01,39580369.0
2020-07-01,40066996.0
2020-08-01,40551234.0
2020-09-01,41913351.0
2020-10-01,42835342.0
2020-11-01,42928772.0
2020-12-01,42415588.0
2021-01-01,43667685.0
2021-02-01,45084758.0
2021-03-01,47646858.0
2021-04-01,49227394.0
2021-05-01,49874448.0
2021-06-01,52238036.0
2021-07-01,51155621.0
2021-08-01,51198821.0
2021-09-01,52855074.0
2021-10-01,54372826.0
2021-11-01,61230537.0
2021-12-01,63594164.0
2022-01-01,62407690.0
2022-02-01,64466267.0
2022-03-01,67131406.0
2022-04-01,70492723.0
2022-05-01,74109609.0
2022-06-01,78671117.0
2022-07-01,78167597.0
2022-08-01,81117986.0
2022-09-01,82535157.0
2022-10-01,84120753.0
2022-11-01,86865591.0
2022-12-01,93137917.0
2023-01-01,97977117.0
2023-02-01,95503748.0
2023-03-01,104034327.0
2023-04-01,107256875.0
2023-05-01,114801174.0
2023-06-01,126502737.0
2023-07-01,125857388.0
2023-08-01,128514517.0
2023-09-01,132833386.0
2023-10-01,138663864.0
2023-11-01,145548751.0
2023-12-01,156093323.0
2024-01-01,157586003.0
2024-02-01,165127885.0
2024-03-01,178595118.0
2024-04-01,171533425.0
2024-05-01,194044240.0
2024-06-01,193510546.0
2024-07-01,196057055.0
2024-08-01,199258840.0
2024-09-01,202793281.0
2024-10-01,204543684.0
2024-11-01,215154314.0
2024-12-01,223325617.0
2025-01-01,229507668.0
2025-02-01,233945709.0
2025-03-01,250225217.0
2025-04-01,254172981.0
2025-05-01,273517657.0
2025-06-01,265200536.0
2025-07-01,264946955.0
2025-08-01,267167482.0
