Tarih,TP_TSENETLER_ADET
2014-05-01,4576265.0
2014-06-01,4770639.0
2014-07-01,4706834.0
2014-08-01,4751735.0
2014-09-01,4838696.0
2014-10-01,4836401.0
2014-11-01,4884512.0
2014-12-01,4769841.0
2015-01-01,4795192.0
2015-02-01,4725293.0
2015-03-01,4785350.0
2015-04-01,4907813.0
2015-05-01,3657512.0
2015-06-01,3549074.0
2015-07-01,3412606.0
2015-08-01,3497183.0
2015-09-01,3472264.0
2015-10-01,3452491.0
2015-11-01,3538004.0
2015-12-01,3609779.0
2016-01-01,3683079.0
2016-02-01,3601477.0
2016-03-01,3735216.0
2016-04-01,3809357.0
2016-05-01,3798529.0
2016-06-01,3775305.0
2016-07-01,3657124.0
2016-08-01,3651428.0
2016-09-01,3621068.0
2016-10-01,3631595.0
2016-11-01,3659547.0
2016-12-01,3704864.0
2017-01-01,3634624.0
2017-02-01,3631599.0
2017-03-01,3636781.0
2017-04-01,3596133.0
2017-05-01,3704749.0
2017-06-01,3769009.0
2017-07-01,3699641.0
2017-08-01,3748110.0
2017-09-01,3761078.0
2017-10-01,3775051.0
2017-11-01,3880016.0
2017-12-01,3974581.0
2018-01-01,3983627.0
2018-02-01,4012018.0
2018-03-01,4105866.0
2018-04-01,4133410.0
2018-05-01,4058338.0
2018-06-01,4093511.0
2018-07-01,4021754.0
2018-08-01,3932170.0
2018-09-01,3969784.0
2018-10-01,3861624.0
2018-11-01,3759499.0
2018-12-01,3698115.0
2019-01-01,3573936.0
2019-02-01,3528574.0
2019-03-01,3517432.0
2019-04-01,3515153.0
2019-05-01,3863095.0
2019-06-01,3525085.0
2019-07-01,3491321.0
2019-08-01,3728458.0
2019-09-01,3448911.0
2019-10-01,3412896.0
2019-11-01,3445071.0
2019-12-01,3462843.0
2020-01-01,3450225.0
2020-02-01,3454686.0
2020-03-01,3437112.0
2020-04-01,3329060.0
2020-05-01,3162503.0
2020-06-01,3105318.0
2020-07-01,3155549.0
2020-08-01,3115252.0
2020-09-01,3146833.0
2020-10-01,3140484.0
2020-11-01,3139332.0
2020-12-01,3117696.0
2021-01-01,3104696.0
2021-02-01,3155802.0
2021-03-01,3124758.0
2021-04-01,3123027.0
2021-05-01,3046602.0
2021-06-01,3122592.0
2021-07-01,3070976.0
2021-08-01,3067474.0
2021-09-01,3116300.0
2021-10-01,3143416.0
2021-11-01,3163146.0
2021-12-01,3181684.0
2022-01-01,3081054.0
2022-02-01,3046717.0
2022-03-01,3043846.0
2022-04-01,3065309.0
2022-05-01,2988476.0
2022-06-01,3035471.0
2022-07-01,2947305.0
2022-08-01,2912259.0
2022-09-01,2910451.0
2022-10-01,2871738.0
2022-11-01,2833658.0
2022-12-01,2848418.0
2023-01-01,2832231.0
2023-02-01,2796271.0
2023-03-01,2803146.0
2023-04-01,2804029.0
2023-05-01,2765007.0
2023-06-01,2813798.0
2023-07-01,2744573.0
2023-08-01,2706656.0
2023-09-01,2703176.0
2023-10-01,2661736.0
2023-11-01,2626930.0
2023-12-01,2651715.0
2024-01-01,2622558.0
2024-02-01,2635914.0
2024-03-01,2672092.0
2024-04-01,2618921.0
2024-05-01,2598450.0
2024-06-01,2556691.0
2024-07-01,2512046.0
2024-08-01,2506176.0
2024-09-01,2490904.0
2024-10-01,2460191.0
2024-11-01,2461623.0
2024-12-01,2281692.0
2025-01-01,2275724.0
2025-02-01,2291372.0
2025-03-01,2331896.0
2025-04-01,2315998.0
2025-05-01,2327959.0
2025-06-01,2251539.0
2025-07-01,2231080.0
2025-08-01,2235327.0
