Tarih,TP_MT210AGS_USD_MT03
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,8.78
2000-07-01,8.23
2000-08-01,8.11
2000-09-01,9.39
2000-10-01,9.3
2000-11-01,9.55
2000-12-01,10.28
2001-01-01,10.71
2001-02-01,11.63
2001-03-01,11.43
2001-04-01,11.94
2001-05-01,11.75
2001-06-01,10.58
2001-07-01,10.24
2001-08-01,8.23
2001-09-01,7.24
2001-10-01,6.1
2001-11-01,5.17
2001-12-01,5.19
2002-01-01,4.49
2002-02-01,3.95
2002-03-01,3.8
2002-04-01,3.59
2002-05-01,3.55
2002-06-01,3.48
2002-07-01,3.43
2002-08-01,3.42
2002-09-01,3.46
2002-10-01,3.46
2002-11-01,3.47
2002-12-01,3.34
2003-01-01,3.34
2003-02-01,3.34
2003-03-01,3.56
2003-04-01,3.64
2003-05-01,3.54
2003-06-01,3.53
2003-07-01,3.45
2003-08-01,3.36
2003-09-01,3.4
2003-10-01,3.33
2003-11-01,3.32
2003-12-01,3.16
2004-01-01,3.14
2004-02-01,3.05
2004-03-01,3.04
2004-04-01,3.04
2004-05-01,2.98
2004-06-01,3.19
2004-07-01,3.33
2004-08-01,3.19
2004-09-01,3.13
2004-10-01,3.18
2004-11-01,3.1
2004-12-01,3.15
2005-01-01,3.05
2005-02-01,2.99
2005-03-01,3.17
2005-04-01,3.25
2005-05-01,3.24
2005-06-01,3.25
2005-07-01,3.26
2005-08-01,3.58
2005-09-01,3.61
2005-10-01,3.7
2005-11-01,3.84
2005-12-01,3.84
2006-01-01,4.04
2006-02-01,4.17
2006-03-01,4.29
2006-04-01,4.36
2006-05-01,4.41
2006-06-01,4.71
2006-07-01,4.62
2006-08-01,4.9
2006-09-01,4.93
2006-10-01,5.0
2006-11-01,4.87
2006-12-01,4.95
2007-01-01,4.8
2007-02-01,4.78
2007-03-01,4.71
2007-04-01,4.82
2007-05-01,4.71
2007-06-01,4.67
2007-07-01,4.72
2007-08-01,4.79
2007-09-01,4.84
2007-10-01,4.77
2007-11-01,4.77
2007-12-01,4.58
2008-01-01,4.42
2008-02-01,4.45
2008-03-01,4.25
2008-04-01,3.82
2008-05-01,3.88
2008-06-01,3.96
2008-07-01,4.16
2008-08-01,4.38
2008-09-01,4.35
2008-10-01,4.48
2008-11-01,4.56
2008-12-01,4.78
2009-01-01,4.64
2009-02-01,4.24
2009-03-01,3.72
2009-04-01,3.7
2009-05-01,3.78
2009-06-01,3.82
2009-07-01,3.75
2009-08-01,3.53
2009-09-01,3.2
2009-10-01,2.78
2009-11-01,2.58
2009-12-01,2.55
2010-01-01,2.46
2010-02-01,2.47
2010-03-01,2.51
2010-04-01,2.57
2010-05-01,2.79
2010-06-01,3.42
2010-07-01,3.47
2010-08-01,3.42
2010-09-01,2.99
2010-10-01,2.83
2010-11-01,2.76
2010-12-01,2.77
2011-01-01,2.95
2011-02-01,2.98
2011-03-01,3.33
2011-04-01,3.5
2011-05-01,3.78
2011-06-01,3.97
2011-07-01,4.08
2011-08-01,4.16
2011-09-01,4.04
2011-10-01,3.7
2011-11-01,3.83
2011-12-01,4.35
2012-01-01,4.23
2012-02-01,4.1
2012-03-01,3.79
2012-04-01,3.71
2012-05-01,3.41
2012-06-01,3.39
2012-07-01,3.18
2012-08-01,3.08
2012-09-01,2.89
2012-10-01,2.91
2012-11-01,2.84
2012-12-01,2.83
2013-01-01,2.75
2013-02-01,2.71
2013-03-01,2.5
2013-04-01,2.36
2013-05-01,2.21
2013-06-01,2.32
2013-07-01,2.45
