Tarih,TP_MT210AGS_USD_MT06
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,7.81
2000-07-01,7.63
2000-08-01,7.84
2000-09-01,9.04
2000-10-01,8.81
2000-11-01,9.68
2000-12-01,10.32
2001-01-01,10.75
2001-02-01,12.7
2001-03-01,12.31
2001-04-01,12.73
2001-05-01,10.21
2001-06-01,8.57
2001-07-01,7.71
2001-08-01,7.24
2001-09-01,6.51
2001-10-01,5.29
2001-11-01,4.53
2001-12-01,3.81
2002-01-01,3.47
2002-02-01,3.16
2002-03-01,3.1
2002-04-01,3.04
2002-05-01,2.95
2002-06-01,2.89
2002-07-01,2.91
2002-08-01,2.94
2002-09-01,2.96
2002-10-01,2.97
2002-11-01,2.95
2002-12-01,2.81
2003-01-01,2.83
2003-02-01,2.83
2003-03-01,3.18
2003-04-01,3.22
2003-05-01,3.02
2003-06-01,2.99
2003-07-01,2.8
2003-08-01,2.74
2003-09-01,2.87
2003-10-01,2.84
2003-11-01,2.81
2003-12-01,2.76
2004-01-01,2.7
2004-02-01,2.66
2004-03-01,2.64
2004-04-01,2.64
2004-05-01,2.72
2004-06-01,2.83
2004-07-01,2.91
2004-08-01,2.83
2004-09-01,2.76
2004-10-01,2.76
2004-11-01,2.69
2004-12-01,2.7
2005-01-01,2.63
2005-02-01,2.59
2005-03-01,2.77
2005-04-01,2.85
2005-05-01,2.88
2005-06-01,2.96
2005-07-01,2.99
2005-08-01,3.21
2005-09-01,3.21
2005-10-01,3.3
2005-11-01,3.36
2005-12-01,3.41
2006-01-01,3.51
2006-02-01,3.61
2006-03-01,3.78
2006-04-01,4.05
2006-05-01,4.22
2006-06-01,4.43
2006-07-01,4.48
2006-08-01,4.49
2006-09-01,4.56
2006-10-01,4.64
2006-11-01,4.64
2006-12-01,4.69
2007-01-01,4.62
2007-02-01,4.61
2007-03-01,4.63
2007-04-01,4.7
2007-05-01,4.58
2007-06-01,4.58
2007-07-01,4.52
2007-08-01,4.56
2007-09-01,4.56
2007-10-01,4.49
2007-11-01,4.47
2007-12-01,4.5
2008-01-01,4.14
2008-02-01,3.76
2008-03-01,3.58
2008-04-01,3.47
2008-05-01,3.53
2008-06-01,3.66
2008-07-01,3.69
2008-08-01,3.73
2008-09-01,3.91
2008-10-01,4.58
2008-11-01,5.19
2008-12-01,4.67
2009-01-01,3.67
2009-02-01,3.41
2009-03-01,3.4
2009-04-01,3.31
2009-05-01,3.25
2009-06-01,3.25
2009-07-01,3.1
2009-08-01,2.62
2009-09-01,2.29
2009-10-01,2.16
2009-11-01,2.1
2009-12-01,2.35
2010-01-01,2.29
2010-02-01,2.19
2010-03-01,2.41
2010-04-01,2.42
2010-05-01,2.7
2010-06-01,3.02
2010-07-01,2.81
2010-08-01,2.57
2010-09-01,2.4
2010-10-01,2.34
2010-11-01,2.3
2010-12-01,2.58
2011-01-01,2.69
2011-02-01,2.81
2011-03-01,2.92
2011-04-01,3.07
2011-05-01,3.32
2011-06-01,3.47
2011-07-01,3.58
2011-08-01,3.57
2011-09-01,3.54
2011-10-01,3.47
2011-11-01,3.68
2011-12-01,4.12
2012-01-01,4.06
2012-02-01,3.85
2012-03-01,3.56
2012-04-01,3.44
2012-05-01,3.45
2012-06-01,3.45
2012-07-01,3.31
2012-08-01,3.09
2012-09-01,2.93
2012-10-01,2.86
2012-11-01,2.77
2012-12-01,2.67
2013-01-01,2.57
2013-02-01,2.42
2013-03-01,2.28
2013-04-01,2.26
2013-05-01,2.11
2013-06-01,2.26
2013-07-01,2.47
