Tarih,TP_MT210AGS_EUR_MT05
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,5.71
2000-07-01,6.38
2000-08-01,6.16
2000-09-01,6.43
2000-10-01,2.78
2000-11-01,6.31
2000-12-01,6.46
2001-01-01,7.99
2001-02-01,11.62
2001-03-01,11.11
2001-04-01,11.62
2001-05-01,11.58
2001-06-01,12.37
2001-07-01,5.13
2001-08-01,5.74
2001-09-01,8.01
2001-10-01,5.39
2001-11-01,4.37
2001-12-01,7.95
2002-01-01,8.37
2002-02-01,7.61
2002-03-01,8.24
2002-04-01,7.9
2002-05-01,7.75
2002-06-01,7.06
2002-07-01,6.52
2002-08-01,4.56
2002-09-01,4.53
2002-10-01,4.42
2002-11-01,4.38
2002-12-01,4.23
2003-01-01,4.23
2003-02-01,4.19
2003-03-01,4.28
2003-04-01,4.06
2003-05-01,4.0
2003-06-01,4.03
2003-07-01,3.94
2003-08-01,3.9
2003-09-01,3.83
2003-10-01,3.84
2003-11-01,3.82
2003-12-01,3.82
2004-01-01,3.8
2004-02-01,3.78
2004-03-01,3.76
2004-04-01,3.75
2004-05-01,3.72
2004-06-01,3.76
2004-07-01,3.79
2004-08-01,3.75
2004-09-01,3.75
2004-10-01,3.76
2004-11-01,3.15
2004-12-01,3.14
2005-01-01,3.11
2005-02-01,3.03
2005-03-01,3.09
2005-04-01,3.09
2005-05-01,2.59
2005-06-01,2.58
2005-07-01,2.57
2005-08-01,3.05
2005-09-01,2.55
2005-10-01,2.51
2005-11-01,3.04
2005-12-01,2.92
2006-01-01,2.98
2006-02-01,3.07
2006-03-01,3.06
2006-04-01,3.08
2006-05-01,3.02
2006-06-01,2.47
2006-07-01,3.07
2006-08-01,3.19
2006-09-01,3.19
2006-10-01,3.17
2006-11-01,3.21
2006-12-01,3.23
2007-01-01,3.22
2007-02-01,3.24
2007-03-01,3.26
2007-04-01,3.26
2007-05-01,3.26
2007-06-01,3.28
2007-07-01,3.32
2007-08-01,3.38
2007-09-01,3.39
2007-10-01,3.4
2007-11-01,3.41
2007-12-01,3.43
2008-01-01,3.43
2008-02-01,3.46
2008-03-01,3.61
2008-04-01,3.61
2008-05-01,3.61
2008-06-01,3.55
2008-07-01,3.7
2008-08-01,3.83
2008-09-01,3.89
2008-10-01,3.93
2008-11-01,3.96
2008-12-01,3.95
2009-01-01,3.95
2009-02-01,3.92
2009-03-01,3.91
2009-04-01,3.93
2009-05-01,3.92
2009-06-01,3.89
2009-07-01,3.78
2009-08-01,3.48
2009-09-01,3.28
2009-10-01,3.16
2009-11-01,3.04
2009-12-01,2.99
2010-01-01,2.94
2010-02-01,2.89
2010-03-01,2.85
2010-04-01,2.85
2010-05-01,2.76
2010-06-01,2.71
2010-07-01,2.64
2010-08-01,2.55
2010-09-01,2.57
2010-10-01,2.56
2010-11-01,2.56
2010-12-01,2.56
2011-01-01,2.56
2011-02-01,2.57
2011-03-01,2.59
2011-04-01,2.6
2011-05-01,2.63
2011-06-01,2.68
2011-07-01,2.82
2011-08-01,3.05
2011-09-01,3.23
2011-10-01,3.28
2011-11-01,3.32
2011-12-01,3.4
2012-01-01,3.44
2012-02-01,3.54
2012-03-01,3.55
2012-04-01,3.56
2012-05-01,3.56
2012-06-01,3.56
2012-07-01,3.54
2012-08-01,3.5
2012-09-01,3.46
2012-10-01,3.43
2012-11-01,3.41
2012-12-01,3.39
2013-01-01,3.34
2013-02-01,3.32
2013-03-01,3.28
2013-04-01,3.26
2013-05-01,3.14
2013-06-01,3.09
2013-07-01,2.95
