Tarih,TP_MT210AGS_USD_MT05
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,10.25
2000-07-01,7.09
2000-08-01,6.37
2000-09-01,8.85
2000-10-01,7.06
2000-11-01,8.59
2000-12-01,9.42
2001-01-01,8.58
2001-02-01,8.95
2001-03-01,8.5
2001-04-01,9.25
2001-05-01,7.18
2001-06-01,7.16
2001-07-01,6.83
2001-08-01,6.75
2001-09-01,6.75
2001-10-01,6.47
2001-11-01,16.97
2001-12-01,6.32
2002-01-01,5.91
2002-02-01,5.24
2002-03-01,5.15
2002-04-01,5.34
2002-05-01,5.15
2002-06-01,4.9
2002-07-01,4.89
2002-08-01,4.38
2002-09-01,4.46
2002-10-01,4.14
2002-11-01,4.08
2002-12-01,3.92
2003-01-01,3.9
2003-02-01,3.94
2003-03-01,3.91
2003-04-01,4.05
2003-05-01,3.76
2003-06-01,3.82
2003-07-01,3.79
2003-08-01,3.78
2003-09-01,3.73
2003-10-01,3.64
2003-11-01,3.61
2003-12-01,3.6
2004-01-01,3.57
2004-02-01,3.55
2004-03-01,3.55
2004-04-01,3.53
2004-05-01,3.54
2004-06-01,3.72
2004-07-01,3.72
2004-08-01,3.61
2004-09-01,3.61
2004-10-01,3.62
2004-11-01,3.5
2004-12-01,3.46
2005-01-01,3.51
2005-02-01,3.35
2005-03-01,3.64
2005-04-01,3.52
2005-05-01,3.39
2005-06-01,3.46
2005-07-01,3.49
2005-08-01,3.75
2005-09-01,3.8
2005-10-01,3.9
2005-11-01,4.0
2005-12-01,4.0
2006-01-01,4.05
2006-02-01,4.38
2006-03-01,4.47
2006-04-01,4.53
2006-05-01,4.55
2006-06-01,4.59
2006-07-01,4.67
2006-08-01,4.9
2006-09-01,4.97
2006-10-01,5.02
2006-11-01,5.2
2006-12-01,5.13
2007-01-01,5.09
2007-02-01,5.1
2007-03-01,5.04
2007-04-01,5.3
2007-05-01,5.1
2007-06-01,5.08
2007-07-01,4.99
2007-08-01,4.95
2007-09-01,4.9
2007-10-01,4.83
2007-11-01,4.81
2007-12-01,4.79
2008-01-01,4.64
2008-02-01,4.53
2008-03-01,4.46
2008-04-01,4.39
2008-05-01,4.34
2008-06-01,4.23
2008-07-01,4.23
2008-08-01,4.15
2008-09-01,4.06
2008-10-01,4.14
2008-11-01,4.15
2008-12-01,4.08
2009-01-01,4.03
2009-02-01,4.03
2009-03-01,3.92
2009-04-01,4.04
2009-05-01,4.01
2009-06-01,3.9
2009-07-01,3.91
2009-08-01,3.85
2009-09-01,3.71
2009-10-01,3.95
2009-11-01,3.65
2009-12-01,3.56
2010-01-01,3.55
2010-02-01,3.43
2010-03-01,3.36
2010-04-01,3.35
2010-05-01,3.26
2010-06-01,3.06
2010-07-01,3.35
2010-08-01,3.31
2010-09-01,3.15
2010-10-01,2.74
2010-11-01,2.74
2010-12-01,2.88
2011-01-01,2.91
2011-02-01,3.08
2011-03-01,3.13
2011-04-01,3.08
2011-05-01,2.96
2011-06-01,2.96
2011-07-01,2.9
2011-08-01,2.88
2011-09-01,3.05
2011-10-01,3.64
2011-11-01,3.71
2011-12-01,3.81
2012-01-01,3.74
2012-02-01,3.97
2012-03-01,4.02
2012-04-01,3.97
2012-05-01,3.92
2012-06-01,3.91
2012-07-01,3.86
2012-08-01,3.83
2012-09-01,3.78
2012-10-01,3.45
2012-11-01,3.35
2012-12-01,3.34
2013-01-01,3.4
2013-02-01,3.26
2013-03-01,3.1
2013-04-01,3.02
2013-05-01,2.84
2013-06-01,2.75
2013-07-01,2.77
