Tarih,TP_MT210AGS_EUR_MT04
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,9.0
2000-07-01,9.42
2000-08-01,8.71
2000-09-01,8.51
2000-10-01,9.31
2000-11-01,8.8
2000-12-01,9.4
2001-01-01,10.39
2001-02-01,9.72
2001-03-01,10.04
2001-04-01,8.74
2001-05-01,7.86
2001-06-01,8.12
2001-07-01,7.81
2001-08-01,7.61
2001-09-01,7.41
2001-10-01,8.18
2001-11-01,7.42
2001-12-01,5.88
2002-01-01,5.62
2002-02-01,5.51
2002-03-01,5.21
2002-04-01,4.84
2002-05-01,4.95
2002-06-01,4.85
2002-07-01,4.6
2002-08-01,4.7
2002-09-01,4.63
2002-10-01,4.58
2002-11-01,4.56
2002-12-01,4.44
2003-01-01,4.44
2003-02-01,4.41
2003-03-01,4.52
2003-04-01,4.49
2003-05-01,4.33
2003-06-01,4.3
2003-07-01,4.11
2003-08-01,4.08
2003-09-01,4.0
2003-10-01,3.88
2003-11-01,3.88
2003-12-01,3.84
2004-01-01,3.93
2004-02-01,3.88
2004-03-01,3.67
2004-04-01,3.74
2004-05-01,3.76
2004-06-01,3.91
2004-07-01,3.88
2004-08-01,3.74
2004-09-01,3.69
2004-10-01,3.7
2004-11-01,3.43
2004-12-01,3.33
2005-01-01,3.12
2005-02-01,2.91
2005-03-01,3.26
2005-04-01,3.24
2005-05-01,3.17
2005-06-01,3.14
2005-07-01,3.17
2005-08-01,3.07
2005-09-01,2.97
2005-10-01,2.98
2005-11-01,2.94
2005-12-01,2.9
2006-01-01,2.88
2006-02-01,3.04
2006-03-01,3.13
2006-04-01,3.23
2006-05-01,3.21
2006-06-01,3.45
2006-07-01,3.41
2006-08-01,3.44
2006-09-01,3.42
2006-10-01,3.49
2006-11-01,3.5
2006-12-01,3.55
2007-01-01,3.6
2007-02-01,3.61
2007-03-01,3.57
2007-04-01,3.7
2007-05-01,3.56
2007-06-01,3.57
2007-07-01,3.62
2007-08-01,3.71
2007-09-01,3.59
2007-10-01,3.61
2007-11-01,3.69
2007-12-01,3.64
2008-01-01,3.68
2008-02-01,3.47
2008-03-01,3.7
2008-04-01,3.77
2008-05-01,3.79
2008-06-01,3.87
2008-07-01,4.14
2008-08-01,4.38
2008-09-01,4.49
2008-10-01,4.51
2008-11-01,4.58
2008-12-01,4.61
2009-01-01,4.76
2009-02-01,4.62
2009-03-01,4.53
2009-04-01,4.43
2009-05-01,4.36
2009-06-01,4.25
2009-07-01,4.06
2009-08-01,3.71
2009-09-01,3.35
2009-10-01,3.18
2009-11-01,3.08
2009-12-01,2.88
2010-01-01,2.74
2010-02-01,2.71
2010-03-01,2.65
2010-04-01,2.61
2010-05-01,2.6
2010-06-01,2.52
2010-07-01,2.49
2010-08-01,2.49
2010-09-01,2.5
2010-10-01,2.52
2010-11-01,2.53
2010-12-01,2.56
2011-01-01,2.53
2011-02-01,2.6
2011-03-01,2.77
2011-04-01,2.83
2011-05-01,2.98
2011-06-01,3.22
2011-07-01,3.29
2011-08-01,3.4
2011-09-01,3.49
2011-10-01,3.55
2011-11-01,3.55
2011-12-01,3.49
2012-01-01,3.76
2012-02-01,3.8
2012-03-01,3.83
2012-04-01,3.83
2012-05-01,3.85
2012-06-01,3.81
2012-07-01,3.66
2012-08-01,3.59
2012-09-01,3.56
2012-10-01,3.52
2012-11-01,3.35
2012-12-01,3.23
2013-01-01,3.14
2013-02-01,3.04
2013-03-01,2.88
2013-04-01,2.65
2013-05-01,2.58
2013-06-01,2.54
2013-07-01,2.51
