Tarih,TP_MT210AGS_EUR_MT06
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,5.7
2000-07-01,5.38
2000-08-01,7.35
2000-09-01,7.46
2000-10-01,7.58
2000-11-01,10.22
2000-12-01,8.94
2001-01-01,9.42
2001-02-01,15.52
2001-03-01,9.58
2001-04-01,11.58
2001-05-01,7.89
2001-06-01,7.0
2001-07-01,7.26
2001-08-01,6.39
2001-09-01,5.69
2001-10-01,5.17
2001-11-01,4.55
2001-12-01,4.57
2002-01-01,4.31
2002-02-01,4.17
2002-03-01,4.05
2002-04-01,3.93
2002-05-01,4.03
2002-06-01,3.78
2002-07-01,3.77
2002-08-01,3.8
2002-09-01,3.86
2002-10-01,3.86
2002-11-01,3.86
2002-12-01,3.73
2003-01-01,3.72
2003-02-01,3.69
2003-03-01,3.96
2003-04-01,3.89
2003-05-01,3.73
2003-06-01,3.6
2003-07-01,3.3
2003-08-01,3.25
2003-09-01,3.25
2003-10-01,3.24
2003-11-01,3.21
2003-12-01,3.19
2004-01-01,3.14
2004-02-01,3.1
2004-03-01,3.06
2004-04-01,3.04
2004-05-01,3.1
2004-06-01,3.27
2004-07-01,3.34
2004-08-01,3.22
2004-09-01,3.13
2004-10-01,3.18
2004-11-01,2.95
2004-12-01,2.88
2005-01-01,2.75
2005-02-01,2.6
2005-03-01,2.7
2005-04-01,2.72
2005-05-01,2.63
2005-06-01,2.66
2005-07-01,2.69
2005-08-01,2.87
2005-09-01,2.74
2005-10-01,2.73
2005-11-01,2.84
2005-12-01,2.71
2006-01-01,2.67
2006-02-01,2.72
2006-03-01,2.84
2006-04-01,2.91
2006-05-01,2.91
2006-06-01,2.94
2006-07-01,3.04
2006-08-01,3.1
2006-09-01,3.09
2006-10-01,3.04
2006-11-01,3.11
2006-12-01,3.13
2007-01-01,3.15
2007-02-01,3.15
2007-03-01,3.2
2007-04-01,3.3
2007-05-01,3.17
2007-06-01,3.22
2007-07-01,3.21
2007-08-01,3.29
2007-09-01,3.33
2007-10-01,3.37
2007-11-01,3.44
2007-12-01,3.49
2008-01-01,3.46
2008-02-01,3.38
2008-03-01,3.46
2008-04-01,3.58
2008-05-01,3.71
2008-06-01,3.7
2008-07-01,3.87
2008-08-01,4.0
2008-09-01,4.05
2008-10-01,4.31
2008-11-01,4.48
2008-12-01,4.3
2009-01-01,3.68
2009-02-01,3.42
2009-03-01,3.27
2009-04-01,3.26
2009-05-01,3.22
2009-06-01,3.14
2009-07-01,3.02
2009-08-01,2.67
2009-09-01,2.38
2009-10-01,2.21
2009-11-01,2.12
2009-12-01,2.19
2010-01-01,2.12
2010-02-01,2.08
2010-03-01,2.2
2010-04-01,2.21
2010-05-01,2.37
2010-06-01,2.6
2010-07-01,2.51
2010-08-01,2.35
2010-09-01,2.33
2010-10-01,2.26
2010-11-01,2.23
2010-12-01,2.39
2011-01-01,2.47
2011-02-01,2.56
2011-03-01,2.65
2011-04-01,2.65
2011-05-01,2.85
2011-06-01,3.0
2011-07-01,3.13
2011-08-01,3.17
2011-09-01,3.08
2011-10-01,3.14
2011-11-01,3.22
2011-12-01,3.46
2012-01-01,3.54
2012-02-01,3.38
2012-03-01,3.17
2012-04-01,3.13
2012-05-01,3.11
2012-06-01,3.1
2012-07-01,3.1
2012-08-01,2.92
2012-09-01,2.78
2012-10-01,2.73
2012-11-01,2.67
2012-12-01,2.61
2013-01-01,2.54
2013-02-01,2.43
2013-03-01,2.34
2013-04-01,2.3
2013-05-01,2.24
2013-06-01,2.26
2013-07-01,2.42
