Tarih,TP_MT210AGS_USD_MT02
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,8.79
2000-07-01,8.78
2000-08-01,8.5
2000-09-01,10.28
2000-10-01,9.95
2000-11-01,10.36
2000-12-01,11.96
2001-01-01,13.13
2001-02-01,13.53
2001-03-01,14.26
2001-04-01,14.52
2001-05-01,12.38
2001-06-01,10.09
2001-07-01,9.16
2001-08-01,7.58
2001-09-01,6.99
2001-10-01,6.37
2001-11-01,4.8
2001-12-01,4.11
2002-01-01,3.74
2002-02-01,3.31
2002-03-01,3.25
2002-04-01,3.18
2002-05-01,3.04
2002-06-01,2.99
2002-07-01,3.06
2002-08-01,3.08
2002-09-01,3.12
2002-10-01,3.15
2002-11-01,3.08
2002-12-01,2.97
2003-01-01,2.97
2003-02-01,2.96
2003-03-01,3.37
2003-04-01,3.42
2003-05-01,3.34
2003-06-01,3.15
2003-07-01,2.93
2003-08-01,2.86
2003-09-01,3.0
2003-10-01,2.98
2003-11-01,2.96
2003-12-01,2.9
2004-01-01,2.83
2004-02-01,2.77
2004-03-01,2.75
2004-04-01,2.74
2004-05-01,2.85
2004-06-01,3.01
2004-07-01,3.09
2004-08-01,3.0
2004-09-01,2.93
2004-10-01,2.92
2004-11-01,2.82
2004-12-01,2.82
2005-01-01,2.72
2005-02-01,2.71
2005-03-01,2.83
2005-04-01,2.98
2005-05-01,3.03
2005-06-01,3.14
2005-07-01,3.17
2005-08-01,3.47
2005-09-01,3.51
2005-10-01,3.55
2005-11-01,3.62
2005-12-01,3.6
2006-01-01,3.84
2006-02-01,4.1
2006-03-01,4.23
2006-04-01,4.39
2006-05-01,4.56
2006-06-01,4.73
2006-07-01,4.75
2006-08-01,4.75
2006-09-01,4.84
2006-10-01,4.93
2006-11-01,4.92
2006-12-01,4.97
2007-01-01,4.87
2007-02-01,4.8
2007-03-01,4.76
2007-04-01,4.92
2007-05-01,4.74
2007-06-01,4.76
2007-07-01,4.74
2007-08-01,4.75
2007-09-01,4.78
2007-10-01,4.69
2007-11-01,4.66
2007-12-01,4.74
2008-01-01,4.52
2008-02-01,4.03
2008-03-01,3.81
2008-04-01,3.71
2008-05-01,3.8
2008-06-01,3.86
2008-07-01,3.98
2008-08-01,4.06
2008-09-01,4.12
2008-10-01,4.98
2008-11-01,5.91
2008-12-01,5.46
2009-01-01,4.2
2009-02-01,3.74
2009-03-01,3.79
2009-04-01,3.71
2009-05-01,3.71
2009-06-01,3.71
2009-07-01,3.49
2009-08-01,2.88
2009-09-01,2.54
2009-10-01,2.36
2009-11-01,2.25
2009-12-01,2.57
2010-01-01,2.48
2010-02-01,2.42
2010-03-01,2.66
2010-04-01,2.74
2010-05-01,3.04
2010-06-01,3.42
2010-07-01,3.22
2010-08-01,2.85
2010-09-01,2.72
2010-10-01,2.56
2010-11-01,2.51
2010-12-01,2.88
2011-01-01,3.01
2011-02-01,3.17
2011-03-01,3.32
2011-04-01,3.48
2011-05-01,3.78
2011-06-01,3.99
2011-07-01,4.06
2011-08-01,3.96
2011-09-01,3.84
2011-10-01,3.8
2011-11-01,3.99
2011-12-01,4.6
2012-01-01,4.57
2012-02-01,4.29
2012-03-01,3.87
2012-04-01,3.76
2012-05-01,3.75
2012-06-01,3.75
2012-07-01,3.59
2012-08-01,3.33
2012-09-01,3.17
2012-10-01,3.06
2012-11-01,2.98
2012-12-01,2.9
2013-01-01,2.79
2013-02-01,2.61
2013-03-01,2.44
2013-04-01,2.43
2013-05-01,2.37
2013-06-01,2.45
2013-07-01,2.77
